No.,Cell Type,T1D cells,Control cells,Total DEGs,Significant,Upregulated,Downregulated
1,C-TAL,1906,607,36601,3704,3392,312
2,CCD-IC-A,1780,588,36601,2344,2281,63
3,PC,3113,711,36601,1157,201,956
4,EC-PTC,1620,556,36601,719,675,44
5,DTL,3313,380,36601,382,178,204
6,VSMC/P,1169,512,36601,286,137,149
7,CNT,912,452,36601,236,215,21
8,PT,2834,795,36601,211,209,2
9,EC-DVR,1029,270,36601,203,144,59
10,IC-B,676,356,36601,108,102,6
11,aPT,1194,369,36601,95,82,13
12,EC-GC,336,271,36601,54,52,2
13,M-TAL,1518,189,36601,34,12,22
14,Non-classical monocytes,417,188,36601,7,7,0
15,T cells,478,270,36601,4,3,1
16,EC-LYM,99,25,36601,1,1,0
17,DC,147,109,36601,0,0,0
18,Podocytes,41,57,36601,0,0,0
