Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Beta Defensins R-HSA-1461957,-0.9601118454708502,-1.7746375456838699,0.001,0.007322562579908916,0.006,1/34,0.34%,DEFB1,C-TAL
prerank,Reactome_2022__Defensins R-HSA-1461973,-0.9425203167432836,-1.7449441919291202,0.001,0.007845602764188124,0.012,1/41,0.34%,DEFB1,C-TAL
prerank,Reactome_2022__Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,-0.9348965649240956,-1.7178623702812168,0.001,0.012204270966514863,0.022,2/39,1.75%,CASR;GRM1,C-TAL
prerank,Reactome_2022__Activated Point Mutants Of FGFR2 R-HSA-2033519,-0.933805503263831,-1.601178086744616,0.001,0.12396052367417236,0.298,3/17,2.82%,FGF13;FGFR2;FGF9,C-TAL
prerank,Reactome_2022__Nitric Oxide Stimulates Guanylate Cyclase R-HSA-392154,-0.9144695851754007,-1.595353272213204,0.011764705882352941,0.11234903158317396,0.328,6/20,2.04%,PDE1A;PRKG1;ITPR1;PDE10A;PRKG2;PDE9A,C-TAL
prerank,Reactome_2022__Presynaptic Depolarization And Calcium Channel Opening R-HSA-112308,-0.9709793847530518,-1.5841481529446995,0.008130081300813009,0.11646361436617039,0.387,4/12,2.34%,CACNA2D3;CACNB2;CACNB4;CACNA2D1,C-TAL
prerank,Reactome_2022__Phospholipase C-mediated Cascade; FGFR2 R-HSA-5654221,-0.9080960371908926,-1.5686498016553887,0.001,0.13464548743873336,0.468,4/18,5.50%,FGF13;FGFR2;FGF9;PLCG1,C-TAL
prerank,Reactome_2022__cGMP Effects R-HSA-418457,-0.9655057237083707,-1.561818069528122,0.001,0.13023700588552287,0.498,6/14,2.04%,PDE1A;PRKG1;ITPR1;PDE10A;PRKG2;PDE9A,C-TAL
prerank,Reactome_2022__FGFR2 Ligand Binding And Activation R-HSA-190241,-0.8705882692860852,-1.5081563666087068,0.023529411764705882,0.26303109711641076,0.767,3/20,2.82%,FGF13;FGFR2;FGF9,C-TAL
prerank,Reactome_2022__PI3K Events In ERBB4 Signaling R-HSA-1250342,-0.9714280605962667,-1.4648722910053975,0.016666666666666666,0.4114234089540253,0.914,4/10,1.34%,ERBB4;NRG1;NRG3;PIK3R1,C-TAL
prerank,Reactome_2022__FGFR2c Ligand Binding And Activation R-HSA-190375,-0.943699252472183,-1.4633694091544758,0.024390243902439025,0.3799173702173523,0.916,3/13,2.82%,FGF13;FGFR2;FGF9,C-TAL
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,0.9594053286231051,1.3923398899379886,0.001,0.001,0.001,78/86,2.67%,RPL3;RPS9;RPS16;RPSA;RPS14;RPL23A;RPL30;RPL18;RPL19;RPL8;RPL18A;RPL36AL;RPL29;RPS2;RPS21;RPL37;RPL7A;RPS12;RPS4Y1;FAU;RPL21;RPS6;RPL11;RPL27;RPS23;RPS15A;RPL26;RPS19;RPS13;RPL15;RPL35A;RPL27A;RPS27A;EEF1A1;RPS11;RPL32;RPS25;RPL14;RPLP1;RPS7;RPL37A;RPS3A;RPS5;RPS27;RPS15;RPL41;RPS3;RPL10A;RPL7;RPL9;RPS29;RPL13A;EEF2;RPL4;RPLP2;RPL35;UBA52;RPL34;RPL28;RPS8;RPLP0;RPS10;RPS27L;RPL23;RPS4X;RPL38;RPL6;RPL5;RPL36A;RPS28;RPL12;RPS20;RPL36;RSL24D1;RPL22;RPS17;RPS24;RPL22L1,C-TAL
prerank,Reactome_2022__Selenocysteine Synthesis R-HSA-2408557,0.956852579699954,1.391245911022345,0.001,0.001,0.001,77/89,2.67%,RPL3;RPS9;RPS16;RPSA;RPS14;RPL23A;RPL30;RPL18;RPL19;RPL8;RPL18A;RPL36AL;RPL29;RPS2;RPS21;RPL37;RPL7A;RPS12;RPS4Y1;FAU;RPL21;RPS6;RPL11;RPL27;RPS23;RPS15A;RPL26;RPS19;RPS13;RPL15;RPL35A;RPL27A;RPS27A;RPS11;RPL32;RPS25;RPL14;RPLP1;RPS7;RPL37A;RPS3A;RPS5;RPS27;RPS15;RPL41;RPS3;RPL10A;RPL7;RPL9;RPS29;RPL13A;RPL4;RPLP2;RPL35;UBA52;RPL34;RPL28;RPS8;RPLP0;RPS10;SEPHS2;RPS27L;RPL23;RPS4X;RPL38;RPL6;RPL5;RPL36A;RPS28;RPL12;RPS20;RPL36;RSL24D1;RPL22;RPS17;RPS24;RPL22L1,C-TAL
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,0.9579465968400593,1.3884989955718559,0.001,0.001,0.001,83/90,3.77%,RPL3;RPS9;RPS16;RPSA;RPS14;RPL23A;RPL30;RPL18;RPL19;RPL8;RPL18A;RPL36AL;RPL29;RPS2;RPS21;RPL37;RPL7A;RPS12;RPS4Y1;FAU;RPL21;RPS6;RPL11;EEF1B2;RPL27;RPS23;RPS15A;RPL26;RPS19;RPS13;RPL15;RPL35A;RPL27A;RPS27A;EEF1A1;RPS11;RPL32;RPS25;RPL14;RPLP1;RPS7;RPL37A;RPS3A;RPS5;RPS27;EEF1G;RPS15;RPL41;RPS3;RPL10A;RPL7;RPL9;RPS29;RPL13A;EEF2;RPL4;RPLP2;RPL35;UBA52;RPL34;RPL28;RPS8;RPLP0;RPS10;RPS27L;RPL23;RPS4X;RPL38;RPL6;RPL5;RPL36A;RPS28;RPL12;RPS20;RPL36;RSL24D1;RPL22;RPS17;RPS24;RPL22L1;EEF1D;RPL39;RPL31,C-TAL
prerank,Reactome_2022__FGFR4 Ligand Binding And Activation R-HSA-190322,-0.8778363950123157,-1.3861645271772551,0.10084033613445378,0.7113346506197233,0.993,2/14,2.82%,FGF13;FGF9,C-TAL
