Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Nitric Oxide Stimulates Guanylate Cyclase R-HSA-392154,-0.8593813859914972,-1.6469328927818818,0.0196078431372549,0.31411029881467817,0.224,4/20,0.68%,PDE1A;PRKG1;PDE9A;ITPR1,CCD-IC-A
prerank,Reactome_2022__Phospholipase C-mediated Cascade: FGFR1 R-HSA-5654219,-0.860773279878923,-1.5958959093208551,0.013513513513513514,0.3498473986798211,0.425,4/16,5.62%,FGF9;KL;FGF13;FGFR1,CCD-IC-A
prerank,Reactome_2022__cGMP Effects R-HSA-418457,-0.8762739082625234,-1.5930493246280812,0.011904761904761904,0.24044171575933942,0.437,4/14,0.68%,PDE1A;PRKG1;PDE9A;ITPR1,CCD-IC-A
prerank,Reactome_2022__FGFR3 Mutant Receptor Activation R-HSA-2033514,-0.8927573821874615,-1.537551850518707,0.07291666666666667,0.3547847611611896,0.66,3/12,5.11%,FGF9;FGF13;FGFR3,CCD-IC-A
prerank,Reactome_2022__FGFR1 Ligand Binding And Activation R-HSA-190242,-0.8823433700748281,-1.524329939407384,0.04225352112676056,0.3282170487614451,0.723,5/16,8.60%,FGF9;KL;FGF13;FGFR1;ANOS1,CCD-IC-A
prerank,Reactome_2022__Eicosanoid Ligand-Binding Receptors R-HSA-391903,-0.8754213554991113,-1.478927567509917,0.027777777777777776,0.4346446400264982,0.86,2/15,0.72%,PTGER3;PTGFR,CCD-IC-A
prerank,Reactome_2022__Signaling By Activated Point Mutants Of FGFR1 R-HSA-1839122,-0.8942827031391362,-1.4327722504690195,0.0594059405940594,0.5673600478590187,0.945,3/11,5.62%,FGF9;FGF13;FGFR1,CCD-IC-A
prerank,Reactome_2022__Phospholipase C-mediated Cascade; FGFR3 R-HSA-5654227,-0.8223624461054101,-1.423688844136034,0.1411764705882353,0.5310015792462205,0.956,3/13,5.11%,FGF9;FGF13;FGFR3,CCD-IC-A
prerank,Reactome_2022__FGFR1c Ligand Binding And Activation R-HSA-190373,-0.8671932659090033,-1.4171811727488275,0.10752688172043011,0.4966620925702479,0.964,4/12,8.60%,FGF9;FGF13;FGFR1;ANOS1,CCD-IC-A
prerank,Reactome_2022__Transcriptional Regulation Of Testis Differentiation R-HSA-9690406,-0.7805056301706847,-1.3281049540481298,0.19047619047619047,0.7679714671019944,0.996,1/13,0.56%,FGF9,CCD-IC-A
prerank,Reactome_2022__Mitochondrial Translation Elongation R-HSA-5389840,0.8903680676119067,1.2820750988153056,0.001,1.0,0.913,70/82,8.58%,MRPS6;MRPL41;MRPL54;MRPL14;MRPL34;GADD45GIP1;MRPL18;TUFM;MRPS5;MRPL16;MRPL15;MRPL36;MRPL40;MRPS34;MRPS15;MRPS35;MRPL32;MRPS24;MRPL57;MRPL38;MRPS18C;MRPS36;MRPS18B;AURKAIP1;MRPS16;MRPS14;MRPS33;MRPS2;MRPL55;MRPS25;MRPS23;MRPS7;MRPL4;MRPL43;MRPL19;MRPL35;MRPL13;MRPL37;TSFM;MRPL51;MRPL12;MRPL11;MRPS10;MRPL17;MRPS18A;CHCHD1;MRPS26;MRPL58;MRPL24;MRPL39;MRPS17;MRPS11;MRPL9;MRPS9;MRPS22;MRPL1;MRPS30;MRPL23;MRPL50;MRPL21;MRPL44;MRPL33;MRPL45;PTCD3;MRPL3;MRPL47;MRPL42;ERAL1;MRPL46;MRPL49,CCD-IC-A
prerank,Reactome_2022__Mitochondrial Translation Termination R-HSA-5419276,0.8867333176135861,1.2752960582819566,0.001,1.0,0.959,68/82,8.58%,MRPS6;MRPL41;MRPL54;MRPL14;MRPL34;GADD45GIP1;MRPL18;MRPS5;MRPL16;MRPL15;MRPL36;MRPL40;MRPS34;MRPS15;MRPS35;MRPL32;MRPS24;MRPL57;MRPL38;MRPS18C;MRPS36;MRPS18B;AURKAIP1;MRPS16;MRPS14;MRPS33;MRPS2;MRPL55;MRPS25;MRPS23;MRPS7;MRPL4;MRPL43;MRPL19;MRPL35;MRPL13;MRPL37;MRPL51;MRPL12;MRPL11;MRPS10;MRPL17;MRPS18A;CHCHD1;MRPS26;MRPL58;MRPL24;MRPL39;MRPS17;MRPS11;MRPL9;MRPS9;MRPS22;MRPL1;MRPS30;MRPL23;MRPL50;MRPL21;MRPL44;MRPL33;MRPL45;PTCD3;MRPL3;MRPL47;MRPL42;ERAL1;MRPL46;MRPL49,CCD-IC-A
prerank,Reactome_2022__Mitochondrial Translation Initiation R-HSA-5368286,0.8867601121307134,1.2752821036757935,0.001,1.0,0.959,69/82,8.58%,MRPS6;MRPL41;MRPL54;MRPL14;MRPL34;GADD45GIP1;MRPL18;MRPS5;MRPL16;MRPL15;MRPL36;MRPL40;MRPS34;MRPS15;MRPS35;MRPL32;MRPS24;MRPL57;MRPL38;MRPS18C;MRPS36;MRPS18B;AURKAIP1;MRPS16;MRPS14;MRPS33;MRPS2;MRPL55;MRPS25;MRPS23;MRPS7;MRPL4;MRPL43;MRPL19;MRPL35;MRPL13;MRPL37;MRPL51;MRPL12;MRPL11;MRPS10;MRPL17;MRPS18A;CHCHD1;MRPS26;MTIF3;MRPL58;MRPL24;MRPL39;MRPS17;MRPS11;MRPL9;MRPS9;MRPS22;MRPL1;MRPS30;MRPL23;MRPL50;MRPL21;MRPL44;MRPL33;MRPL45;PTCD3;MRPL3;MRPL47;MRPL42;ERAL1;MRPL46;MRPL49,CCD-IC-A
prerank,"Reactome_2022__Synthesis, Secretion, And Deacylation Of Ghrelin R-HSA-422085",0.9306422297185871,1.2675289358442996,0.0031512605042016808,1.0,0.98,4/19,4.70%,SEC11C;SPCS1;SEC11A;SPCS3,CCD-IC-A
prerank,Reactome_2022__Mitochondrial Translation R-HSA-5368287,0.8787793446096226,1.265733045652562,0.001,1.0,0.984,71/88,8.58%,MRPS6;MRPL41;MRPL54;MRPL14;MRPL34;GADD45GIP1;MRPL18;TUFM;MRPS5;MRPL16;MRPL15;MRPL36;MRPL40;MRPS34;MRPS15;MRPS35;MRPL32;MRPS24;MRPL57;MRPL38;MRPS18C;MRPS36;MRPS18B;AURKAIP1;MRPS16;MRPS14;MRPS33;MRPS2;MRPL55;MRPS25;MRPS23;MRPS7;MRPL4;MRPL43;MRPL19;MRPL35;MRPL13;MRPL37;TSFM;MRPL51;MRPL12;MRPL11;MRPS10;MRPL17;MRPS18A;CHCHD1;MRPS26;MTIF3;MRPL58;MRPL24;MRPL39;MRPS17;MRPS11;MRPL9;MRPS9;MRPS22;MRPL1;MRPS30;MRPL23;MRPL50;MRPL21;MRPL44;MRPL33;MRPL45;PTCD3;MRPL3;MRPL47;MRPL42;ERAL1;MRPL46;MRPL49,CCD-IC-A
prerank,"Reactome_2022__Synthesis, Secretion, And Inactivation Of Glucose-dependent Insulinotropic Polypeptide (GIP) R-HSA-400511",0.9371948803469132,1.2576743347399173,0.013086150490730643,1.0,0.996,4/13,4.70%,SEC11C;SPCS1;SEC11A;SPCS3,CCD-IC-A
prerank,Reactome_2022__Dissolution Of Fibrin Clot R-HSA-75205,0.9396292992818565,1.2559722113168186,0.011891891891891892,1.0,0.999,4/13,4.38%,S100A10;ANXA2;SERPINB6;SERPINF2,CCD-IC-A
prerank,Reactome_2022__Uptake Of Dietary Cobalamins Into Enterocytes R-HSA-9758881,0.9416055293200964,1.2530954661659772,0.023972602739726026,1.0,0.999,3/10,4.95%,AMN;ABCD4;LMBRD1,CCD-IC-A
prerank,Reactome_2022__Ribosomal Scanning And Start Codon Recognition R-HSA-72702,0.8768997448134198,1.2495850522156844,0.001,1.0,1.0,37/57,7.06%,RPS9;EIF3F;RPS3;EIF3D;EIF4A1;EIF3G;RPS6;RPS4X;RPS5;RPS25;EIF5;RPS13;EIF3L;EIF3H;RPS23;RPS7;EIF3K;RPS14;EIF4H;RPSA;RPS2;RPS3A;RPS15;RPS27A;EIF2S2;RPS16;EIF3M;EIF4G1;EIF3I;RPS8;RPS12;EIF3B;EIF2S1;RPS19;EIF4E;RPS15A;EIF4B,CCD-IC-A
