Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Digestion And Absorption R-HSA-8963743,-0.8921011258758804,-1.6945391485244101,0.018867924528301886,0.37247306365233585,0.252,1/27,0.01%,AMY2B,CNT
prerank,Reactome_2022__Digestion R-HSA-8935690,-0.9011343352297727,-1.6828072664608444,0.014705882352941176,0.22313244850871064,0.292,1/22,0.01%,AMY2B,CNT
prerank,Reactome_2022__FGFR1 Ligand Binding And Activation R-HSA-190242,-0.8661905396150995,-1.5954668455105179,0.019230769230769232,0.4711549995413588,0.655,2/16,0.13%,KL;FGF13,CNT
prerank,Reactome_2022__Digestion Of Dietary Carbohydrate R-HSA-189085,-0.9675733476930013,-1.5891378677329586,0.001,0.37752429034101737,0.682,1/11,0.01%,AMY2B,CNT
prerank,Reactome_2022__Phospholipase C-mediated Cascade: FGFR1 R-HSA-5654219,-0.8402762152998825,-1.5468702444580142,0.035398230088495575,0.4849177621134184,0.835,2/16,0.13%,KL;FGF13,CNT
prerank,Reactome_2022__Ion Homeostasis R-HSA-5578775,-0.671749186298916,-1.531554298149584,0.029411764705882353,0.4652985048298442,0.877,8/49,3.63%,ATP1B1;ATP2A2;ITPR2;ITPR1;ATP2B4;TRPC1;FXYD2;ATP1B3,CNT
prerank,Reactome_2022__FGFR4 Ligand Binding And Activation R-HSA-190322,-0.8777646092731547,-1.5011622171953338,0.022900763358778626,0.5268335314058309,0.935,2/14,5.06%,FGF13;FGF9,CNT
prerank,Reactome_2022__Lysosphingolipid And LPA Receptors R-HSA-419408,-0.8390695139019041,-1.4767116243933578,0.03875968992248062,0.5605763531677991,0.961,1/14,0.11%,PLPPR1,CNT
prerank,Reactome_2022__PI3K Events In ERBB4 Signaling R-HSA-1250342,-0.8753503982477344,-1.4709286685322844,0.07428571428571429,0.5195686891565472,0.967,3/10,3.26%,ERBB4;PIK3CA;NRG1,CNT
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,0.946291407081701,1.4622526271901268,0.001,0.001,0.001,78/90,3.88%,RPS3;RPS4X;RPL11;RPL34;RPS23;RPL7A;RPL35A;RPL19;RPL26;RPS15;RPS12;RPL29;RPL6;RPL30;RPS20;RPS19;EEF1D;EEF1B2;RPS15A;RPS7;RPL5;RPL23;FAU;RPS5;RPLP1;RPS13;RPS27A;RPL36AL;RPS25;RPL8;EEF2;RPS24;RPL32;RPL4;RPL18A;RPS8;RPS27L;EEF1G;RPS3A;RPL28;RPS6;EEF1A1;RPL23A;RPL36;RPS14;RPL14;RPSA;RPL9;RPL15;RPL3;RPS21;RPL41;RPS9;RPL18;UBA52;RPL36A;RPL27;MRPL13;RPL22;RPL13A;RPS2;RPL10A;RPS16;RPS28;RPS17;RPL26L1;RPS27;RPL27A;RPL31;RPL12;RPL35;RPL37;RPLP2;RSL24D1;RPL38;RPS11;RPL7;RPL22L1,CNT
