Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Olfactory Signaling Pathway R-HSA-381753,0.7461285803059062,1.6500500434920928,0.001,0.010069727429140632,0.007,1/385,1.00%,GNB1,DC
prerank,Reactome_2022__ER-Phagosome Pathway R-HSA-1236974,0.8104055596712313,1.629752936812816,0.001,0.012307444635616326,0.019,40/89,6.69%,HLA-A;CALR;B2M;SEC61B;HLA-C;PSMB6;PSMB7;PSMC4;RPS27A;PSMA1;PSMB3;PSME2;SEC61G;NDUFA2;STX4;HLA-F;PSMA5;PDIA3;PSMD3;PSMC3;PSMB2;SEM1;PSMD4;UBC;UBB;PSMB9;PSMA7;HMGB1;PSMF1;PSMD7;PSMB4;PSMB5;PSMC5;PSMD13;PSMB8;HLA-B;VAMP3;PSMD12;PSMD10;TAPBP,DC
prerank,Reactome_2022__Complement Cascade R-HSA-166658,0.8598116047018766,1.612031260931129,0.001,0.020512407726027214,0.042,9/54,4.23%,C1QC;C1QB;C1QA;CPNE1;CD46;CD81;TTF2;PSMA7;SERPING1,DC
prerank,Reactome_2022__Antimicrobial Peptides R-HSA-6803157,0.8139233458858548,1.604949805060684,0.001,0.021817742763138036,0.057,3/87,4.07%,LYZ;CD4;CCR2,DC
prerank,Reactome_2022__Regulation Of Complement Cascade R-HSA-977606,0.8793479315448595,1.6035035104458037,0.001,0.01812550937245314,0.058,9/44,4.23%,C1QC;C1QB;C1QA;CPNE1;CD46;CD81;TTF2;PSMA7;SERPING1,DC
prerank,Reactome_2022__SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,0.7718008013472549,1.5592317574336378,0.001,0.07757419649115746,0.264,55/108,2.67%,RPSA;RPS9;RPL3;RPL19;RPL7A;RPL14;RPL28;SSR1;SEC61B;FAU;RPL9;RPS12;RPL15;RPL26;RPS16;RPL34;RPS14;RPS7;RPS5;RPL29;RPS10;RPL5;RPS19;RPS15A;RPS23;SPCS2;RPS8;RPS4X;RPL26L1;RPS15;RPS27A;RPL8;RPL10A;SEC61G;SSR3;RPL41;RPL18;RPN2;RPL7;RPS3A;RPL36AL;RPS3;RPS13;SEC11C;RPL27A;SSR4;MRPL13;RPS21;RPL18A;RPL23;SRPRB;RPL32;RPS6;RPL31;RPN1,DC
prerank,Reactome_2022__Translation R-HSA-72766,0.7120444569909962,1.5559920592956755,0.001,0.07464385253029644,0.284,119/263,7.90%,RPSA;RPS9;RPL3;RPL19;EIF4A1;RPL7A;EIF3E;RPL14;EEF1D;EEF1G;RPL28;SSR1;SEC61B;FAU;RPL9;RPS12;RPL15;RPL26;RPS16;RPL34;EIF3H;RPS14;RPS7;RPS5;EIF1AX;AURKAIP1;RPL29;RPS10;EEF1A1;RPL5;RPS19;RPS15A;RPS23;SPCS2;RPS8;RPS4X;RPL26L1;RPS15;EIF3F;MRPL57;RPS27A;RPL8;EIF3D;EEF2;RPL10A;SEC61G;SSR3;RPL41;RPL18;RPN2;MRPS18B;MRPS17;RPL7;RPS3A;MRPL19;GSPT1;RPL36AL;EIF2B3;FARSA;EIF2S2;RPS3;RPS13;TRMT112;MRPL54;SEC11C;MRPL41;RPL27A;SSR4;MRPL13;RPS21;RPL18A;MRPS21;RPL23;SRPRB;MRPL44;RPL32;RPS6;RPL31;RPN1;MRPL52;MRPL38;OXA1L;MRPL43;MRPL11;MRPL45;MRPL36;GFM1;RPL11;PPA2;FARS2;CHCHD1;MRPL48;GADD45GIP1;MRPL24;MRPL17;MTIF3;MRPS15;IARS2;RPS28;EIF4A2;MRPL40;SRPRA;MRPS10;DDOST;EIF4E;MRPS30;CARS2;RPL27;EIF3K;AIMP1;RPS2;MRPS34;RSL24D1;MTIF2;RPL22;ERAL1;MTFMT;MRPL35;EIF4H,DC
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,0.7839352141728976,1.5534720532789332,0.001,0.07146709328181754,0.304,49/90,2.66%,RPSA;RPS9;RPL3;RPL19;RPL7A;RPL14;EEF1D;EEF1G;RPL28;FAU;RPL9;RPS12;RPL15;RPL26;RPS16;RPL34;RPS14;RPS7;RPS5;RPL29;RPS10;EEF1A1;RPL5;RPS19;RPS15A;RPS23;RPS8;RPS4X;RPL26L1;RPS15;RPS27A;RPL8;EEF2;RPL10A;RPL41;RPL18;RPL7;RPS3A;RPL36AL;RPS3;RPS13;RPL27A;MRPL13;RPS21;RPL18A;RPL23;RPL32;RPS6;RPL31,DC
prerank,Reactome_2022__Initial Triggering Of Complement R-HSA-166663,0.9536731234931695,1.549873714768021,0.001,0.07222853872013218,0.349,3/20,0.12%,C1QC;C1QB;C1QA,DC
prerank,Reactome_2022__Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,0.7357008392261275,1.547629038954523,0.001,0.06981677684204173,0.357,80/167,4.98%,RPSA;RPS9;RPL3;RPL19;RPL7A;RPL14;RBM8A;RPL28;FAU;RPL9;RPS12;RPL15;RPL26;RPS16;RPL34;RPS14;RPS7;RPS5;RPL29;PSMB6;RPS10;RPL5;RPS19;RPS15A;RPS23;PSMB7;RPS8;RPS4X;RPL26L1;PSMC4;RPS15;ELOC;RPS27A;RPL8;PSMA1;PSMB3;RPL10A;PSME2;RPL41;RPL18;RPL7;EIF4A3;RPS3A;USP33;GSPT1;RPL36AL;ELOB;PSMA5;RPS3;PSMD3;RPS13;PSMC3;RPL27A;MRPL13;PSMB2;RPS21;RPL18A;MAGOHB;RPL23;SEM1;RPL32;RPS6;RPL31;PSMD4;UBC;NCBP2;UBB;PSMB9;PSMA7;PSMF1;RNPS1;UPF2;RPL11;PSMD7;PSMB4;PSMB5;PSMC5;PSMD13;PSMB8;RPS28,DC
