Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Expression And Translocation Of Olfactory Receptors R-HSA-9752946,-0.7618156098465412,-1.9734672508023499,0.001,0.001,0.001,2/377,4.51%,LDB2;EBF1,EC-LYM
prerank,Reactome_2022__Olfactory Signaling Pathway R-HSA-381753,-0.7527492729421208,-1.9436377055863474,0.001,0.001,0.001,3/385,4.51%,LDB2;GNB1;EBF1,EC-LYM
prerank,Reactome_2022__Influenza Infection R-HSA-168255,0.8872212076618082,1.8264887701746348,0.001,0.001,0.001,80/157,4.55%,RPS4Y1;RPL21;RPS19;RPS12;RPS27A;RPS15A;RPS3A;RPL15;RPS3;RPL11;RPL37A;RPL29;RPLP2;RPL34;RPS13;RPL41;RPL37;RPL27A;RPL3;RPS23;RPS16;RPS7;RPL36A;RPS25;RPS8;RPL9;RPL36AL;FAU;RPS4X;RPL13A;RPL35A;RPSA;RPL30;RPS9;RPL23A;RPS29;RPS21;RPL14;RPL10A;RPL28;RPL7A;RPL12;RPS17;RPL38;RPL32;RPL22L1;UBA52;RPL39;RPS27L;RPS27;RPL8;POLR2I;CALR;RPL18A;ISG15;RPS6;POLR2F;RPS20;RPL36;RPS14;HSPA1A;RPS24;RPL26;RPL23;KPNB1;RAN;POLR2K;EIF2AK2;IPO5;CLTA;SLC25A6;RPL18;POLR2G;BLOC1S6;POLR2C;RPL5;RSL24D1;PABPN1;RPS11;RPLP1,EC-LYM
prerank,Reactome_2022__Influenza Viral RNA Transcription And Replication R-HSA-168273,0.893856609654792,1.8206660967799964,0.001,0.001,0.001,71/137,4.55%,RPS4Y1;RPL21;RPS19;RPS12;RPS27A;RPS15A;RPS3A;RPL15;RPS3;RPL11;RPL37A;RPL29;RPLP2;RPL34;RPS13;RPL41;RPL37;RPL27A;RPL3;RPS23;RPS16;RPS7;RPL36A;RPS25;RPS8;RPL9;RPL36AL;FAU;RPS4X;RPL13A;RPL35A;RPSA;RPL30;RPS9;RPL23A;RPS29;RPS21;RPL14;RPL10A;RPL28;RPL7A;RPL12;RPS17;RPL38;RPL32;RPL22L1;UBA52;RPL39;RPS27L;RPS27;RPL8;POLR2I;RPL18A;RPS6;POLR2F;RPS20;RPL36;RPS14;RPS24;RPL26;RPL23;POLR2K;IPO5;RPL18;POLR2G;BLOC1S6;POLR2C;RPL5;RSL24D1;RPS11;RPLP1,EC-LYM
prerank,Reactome_2022__Selenoamino Acid Metabolism R-HSA-2408522,0.9220407796581157,1.819687507023588,0.001,0.001,0.001,60/104,2.13%,RPS4Y1;RPL21;RPS19;RPS12;RPS27A;RPS15A;RPS3A;RPL15;RPS3;RPL11;RPL37A;RPL29;RPLP2;RPL34;RPS13;RPL41;RPL37;RPL27A;RPL3;RPS23;RPS16;RPS7;RPL36A;RPS25;RPS8;RPL9;RPL36AL;FAU;RPS4X;RPL13A;RPL35A;RPSA;RPL30;RPS9;RPL23A;RPS29;RPS21;RPL14;RPL10A;RPL28;RPL7A;RPL12;RPS17;RPL38;RPL32;RPL22L1;UBA52;RPL39;RPS27L;RPS27;RPL8;RPL18A;RPS6;RPS20;RPL36;RPS14;RPS24;EEF1E1;RPL26;RPL23,EC-LYM
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,0.9080109201176915,1.8159493174012438,0.001,0.001,0.001,72/112,4.55%,RPS4Y1;RPL21;RPS19;RPS12;RPS27A;RPS15A;RPS3A;RPL15;RPS3;RPL11;RPL37A;RPL29;RPLP2;RPL34;RPS13;RPL41;RPL37;RPL27A;RPL3;RPS23;RPS16;RPS7;RPL36A;RPS25;RPS8;RPL9;RPL36AL;FAU;RPS4X;RPL13A;RPL35A;RPSA;RPL30;RPS9;RPL23A;RPS29;RPS21;RPL14;RPL10A;RPL28;RPL7A;RPL12;RPS17;RPL38;RPL32;RPL22L1;UBA52;RPL39;RPS27L;RPS27;RPL8;RPL18A;RPS6;RPS20;RPL36;RPS14;PABPC1;RPS24;PPP2R1A;RPL26;RPL23;UPF3A;NCBP2;DCP1A;UPF2;RPL18;CASC3;RPL5;ETF1;RSL24D1;RPS11;RPLP1,EC-LYM
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,0.9320359228407966,1.8126030028294091,0.001,0.001,0.001,61/92,2.28%,RPS4Y1;RPL21;RPS19;RPS12;RPS27A;RPS15A;RPS3A;RPL15;RPS3;RPL11;RPL37A;RPL29;RPLP2;RPL34;RPS13;RPL41;RPL37;RPL27A;RPL3;RPS23;RPS16;RPS7;RPL36A;RPS25;RPS8;RPL9;RPL36AL;FAU;RPS4X;RPL13A;RPL35A;RPSA;RPL30;RPS9;RPL23A;RPS29;RPS21;RPL14;RPL10A;RPL28;RPL7A;RPL12;RPS17;RPL38;RPL32;RPL22L1;UBA52;RPL39;RPS27L;RPS27;RPL8;RPL18A;RPS6;RPS20;RPL36;RPS14;PABPC1;RPS24;RPL26;RPL23;NCBP2,EC-LYM
prerank,Reactome_2022__Selenocysteine Synthesis R-HSA-2408557,0.9431754340199965,1.8106660067002436,0.001,0.001,0.001,59/89,2.13%,RPS4Y1;RPL21;RPS19;RPS12;RPS27A;RPS15A;RPS3A;RPL15;RPS3;RPL11;RPL37A;RPL29;RPLP2;RPL34;RPS13;RPL41;RPL37;RPL27A;RPL3;RPS23;RPS16;RPS7;RPL36A;RPS25;RPS8;RPL9;RPL36AL;FAU;RPS4X;RPL13A;RPL35A;RPSA;RPL30;RPS9;RPL23A;RPS29;RPS21;RPL14;RPL10A;RPL28;RPL7A;RPL12;RPS17;RPL38;RPL32;RPL22L1;UBA52;RPL39;RPS27L;RPS27;RPL8;RPL18A;RPS6;RPS20;RPL36;RPS14;RPS24;RPL26;RPL23,EC-LYM
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,0.9408970842053875,1.808742238190753,0.001,0.001,0.001,63/90,2.49%,RPS4Y1;RPL21;RPS19;RPS12;RPS27A;RPS15A;RPS3A;RPL15;RPS3;RPL11;RPL37A;RPL29;RPLP2;RPL34;RPS13;RPL41;RPL37;RPL27A;RPL3;RPS23;RPS16;RPS7;RPL36A;RPS25;RPS8;RPL9;RPL36AL;FAU;RPS4X;RPL13A;RPL35A;RPSA;RPL30;RPS9;RPL23A;RPS29;RPS21;RPL14;RPL10A;RPL28;EEF1A1;RPL7A;RPL12;RPS17;RPL38;RPL32;RPL22L1;UBA52;RPL39;RPS27L;RPS27;RPL8;RPL18A;EEF1D;RPS6;RPS20;EEF1B2;RPL36;RPS14;RPS24;RPL26;RPL23;EEF1G,EC-LYM
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,0.9440649985842188,1.8080911431579125,0.001,0.001,0.001,60/86,2.13%,RPS4Y1;RPL21;RPS19;RPS12;RPS27A;RPS15A;RPS3A;RPL15;RPS3;RPL11;RPL37A;RPL29;RPLP2;RPL34;RPS13;RPL41;RPL37;RPL27A;RPL3;RPS23;RPS16;RPS7;RPL36A;RPS25;RPS8;RPL9;RPL36AL;FAU;RPS4X;RPL13A;RPL35A;RPSA;RPL30;RPS9;RPL23A;RPS29;RPS21;RPL14;RPL10A;RPL28;EEF1A1;RPL7A;RPL12;RPS17;RPL38;RPL32;RPL22L1;UBA52;RPL39;RPS27L;RPS27;RPL8;RPL18A;RPS6;RPS20;RPL36;RPS14;RPS24;RPL26;RPL23,EC-LYM
