Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723,-0.778973110981521,-1.5784250722792654,0.05714285714285714,0.9392525166814518,0.637,7/30,3.77%,EPAS1;FOXP1;PBX1;HIF3A;SMAD4;GATA6;STAT3,EC-PTC
prerank,Reactome_2022__Gastrulation R-HSA-9758941,-0.915990673931787,-1.5230164377127782,0.049019607843137254,0.9701083812242064,0.86,7/17,5.33%,CTNNB1;SMAD3;SMAD4;TP63;TCF7;BMP4;SMAD2,EC-PTC
prerank,Reactome_2022__Digestion And Absorption R-HSA-8963743,-0.7578996857589556,-1.4414093210581929,0.11842105263157894,1.0,0.986,8/27,20.38%,PIR;MGAM;NPC1L1;GUCA2A;SLC2A2;AMY2B;PMEL;CEL,EC-PTC
prerank,Reactome_2022__Digestion R-HSA-8935690,-0.7741557314943248,-1.4018553909713123,0.10638297872340426,1.0,0.996,6/22,20.38%,PIR;MGAM;GUCA2A;AMY2B;PMEL;CEL,EC-PTC
prerank,Reactome_2022__Beta Defensins R-HSA-1461957,0.9847498693298069,1.397804905879935,0.001,0.001,0.001,1/34,0.91%,DEFB1,EC-PTC
prerank,Reactome_2022__Transcriptional Regulation Of Testis Differentiation R-HSA-9690406,-0.8240157567584636,-1.3957749696170372,0.07936507936507936,1.0,0.997,3/13,5.44%,ZFPM2;PTGDS;SOX9,EC-PTC
prerank,Reactome_2022__Defensins R-HSA-1461973,0.9771713241864372,1.3886479674994212,0.001,0.001,0.001,1/41,0.91%,DEFB1,EC-PTC
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,0.957392778718196,1.3790108105201222,0.001,0.0020602415853240405,0.005,73/86,2.22%,RPL41;RPL8;RPL19;RPS12;RPLP1;RPS13;RPS15A;RPL11;RPS15;RPS9;RPS25;RPL3;RPS23;RPL37A;FAU;RPL18;RPS8;RPS27A;RPL32;RPS10;RPL28;RPS3;RPL29;RPS4X;RPL14;RPL30;RPSA;RPL36AL;RPL15;RPL26;RPS14;RPL5;RPL35A;RPS6;RPL34;RPL7A;RPL12;RPL18A;RPL37;RPS27;RPL36A;RPL10A;RPL35;RPS3A;EEF1A1;RPS7;RPS19;RPL36;RPS16;RPL6;UBA52;RPL23A;RPL22;RPS2;RPS4Y1;RPS29;RPL9;RPL27;RPS5;RPS28;RPLP0;RPS21;RPS24;RPL13A;RPL39;RPL38;RPL21;RPS11;RSL24D1;RPL4;RPL27A;RPL7;RPL26L1,EC-PTC
prerank,Reactome_2022__Selenocysteine Synthesis R-HSA-2408557,0.955941123070367,1.3783627832727632,0.001,0.0015451811889930303,0.005,72/89,2.22%,RPL41;RPL8;RPL19;RPS12;RPLP1;RPS13;RPS15A;RPL11;RPS15;RPS9;RPS25;RPL3;RPS23;RPL37A;FAU;RPL18;RPS8;RPS27A;RPL32;RPS10;RPL28;RPS3;RPL29;RPS4X;RPL14;RPL30;RPSA;RPL36AL;RPL15;RPL26;RPS14;RPL5;RPL35A;RPS6;RPL34;RPL7A;RPL12;RPL18A;RPL37;RPS27;RPL36A;RPL10A;RPL35;RPS3A;RPS7;RPS19;RPL36;RPS16;RPL6;UBA52;RPL23A;RPL22;RPS2;RPS4Y1;RPS29;RPL9;RPL27;RPS5;RPS28;RPLP0;RPS21;RPS24;RPL13A;RPL39;RPL38;RPL21;RPS11;RSL24D1;RPL4;RPL27A;RPL7;RPL26L1,EC-PTC
prerank,Reactome_2022__Viral mRNA Translation R-HSA-192823,0.9560137674572119,1.377406497418078,0.001,0.0014421691097268282,0.006,72/90,2.22%,RPL41;RPL8;RPL19;RPS12;RPLP1;RPS13;RPS15A;RPL11;RPS15;RPS9;RPS25;RPL3;RPS23;RPL37A;FAU;RPL18;RPS8;RPS27A;RPL32;RPS10;RPL28;RPS3;RPL29;RPS4X;RPL14;RPL30;RPSA;RPL36AL;RPL15;RPL26;RPS14;RPL5;RPL35A;RPS6;RPL34;RPL7A;RPL12;RPL18A;RPL37;RPS27;RPL36A;RPL10A;RPL35;RPS3A;RPS7;RPS19;RPL36;RPS16;RPL6;UBA52;RPL23A;RPL22;RPS2;RPS4Y1;RPS29;RPL9;RPL27;RPS5;RPS28;RPLP0;RPS21;RPS24;RPL13A;RPL39;RPL38;RPL21;RPS11;RSL24D1;RPL4;RPL27A;RPL7;RPL26L1,EC-PTC
