Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427,-0.8143347444533755,-1.5700676268765923,0.045454545454545456,1.0,0.772,8/17,8.58%,HLA-DRB1;HLA-DRA;HLA-DRB5;PTPRJ;HLA-DPA1;PTPRC;CD4;PAG1,IC-B
prerank,Reactome_2022__Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,-0.8577399751738964,-1.5324439896014557,0.03278688524590164,1.0,0.868,4/14,3.91%,HLA-DRB1;HLA-DRA;HLA-DRB5;HLA-DPA1,IC-B
prerank,Reactome_2022__Free Fatty Acids Regulate Insulin Secretion R-HSA-400451,-0.8548129819322609,-1.4878120995709914,0.060240963855421686,1.0,0.968,8/11,11.20%,GNA11;GNAQ;PLCB3;ACSL4;PLCB1;CD36;ACSL3;PLCB2,IC-B
prerank,Reactome_2022__Myogenesis R-HSA-525793,-0.6986173808239302,-1.4719895166947108,0.022727272727272728,0.9725952953963202,0.974,8/29,5.90%,CTNNB1;CDC42;NEO1;TCF7L1;CTNNA1;CDON;SPAG9;TCF12,IC-B
prerank,Reactome_2022__Gastrulation R-HSA-9758941,-0.7030080646870325,-1.3981465465354204,0.14545454545454545,1.0,0.999,2/17,2.10%,CTNNB1;SMAD2,IC-B
prerank,Reactome_2022__Beta Defensins R-HSA-1461957,0.9099588132294878,1.3954406408348032,0.001,0.18650987023147797,0.141,1/34,0.57%,DEFB1,IC-B
prerank,Reactome_2022__Fertilization R-HSA-1187000,-0.6879572465662016,-1.3914614682185775,0.1111111111111111,1.0,0.999,3/25,4.24%,CD9;HVCN1;CATSPERB,IC-B
prerank,Reactome_2022__Respiratory Electron Transport R-HSA-611105,0.8838475954570906,1.3760164097421992,0.001,0.3497060066840212,0.412,61/90,5.26%,NDUFV2;COX5A;COX14;NDUFS3;UQCR11;COX4I1;NDUFS8;COX7C;NDUFB10;NDUFV1;UQCRQ;NDUFA11;NDUFA13;NDUFC2;ETFA;NDUFB3;NDUFA6;ETFB;UQCRFS1;SDHB;COX20;NDUFB7;NDUFA3;UQCRB;NDUFAB1;NDUFA10;NDUFS5;NDUFA12;NDUFS2;NDUFA2;COX6A1;NDUFS7;NDUFS4;NDUFB9;UQCRH;COX7B;NDUFA5;TACO1;COX6B1;NDUFA8;TMEM126B;SURF1;COX5B;NDUFB8;TIMMDC1;NDUFB11;SDHA;UQCRC2;NDUFB6;SDHD;NDUFAF4;NDUFB5;COX8A;NDUFS1;NDUFB4;ETFDH;NDUFAF6;NDUFA7;SCO2;NDUFS6;NDUFAF3,IC-B
prerank,Reactome_2022__Complex I Biogenesis R-HSA-6799198,0.8915845134349201,1.3742696431119985,0.001,0.2557753111688928,0.438,36/51,5.26%,NDUFV2;NDUFS3;NDUFS8;NDUFB10;NDUFV1;NDUFA11;NDUFA13;NDUFC2;NDUFB3;NDUFA6;NDUFB7;NDUFA3;NDUFAB1;NDUFA10;NDUFS5;NDUFA12;NDUFS2;NDUFA2;NDUFS7;NDUFS4;NDUFB9;NDUFA5;NDUFA8;TMEM126B;NDUFB8;TIMMDC1;NDUFB11;NDUFB6;NDUFAF4;NDUFB5;NDUFS1;NDUFB4;NDUFAF6;NDUFA7;NDUFS6;NDUFAF3,IC-B
prerank,"Reactome_2022__Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",0.8783258467584506,1.3722026429288814,0.001,0.21413157655652024,0.479,73/112,5.26%,NDUFV2;COX5A;COX14;NDUFS3;UQCR11;ATP5F1A;COX4I1;NDUFS8;COX7C;NDUFB10;NDUFV1;UQCRQ;NDUFA11;NDUFA13;NDUFC2;ETFA;NDUFB3;NDUFA6;ETFB;UQCRFS1;SDHB;COX20;ATP5PO;NDUFB7;NDUFA3;ATP5MG;UQCRB;NDUFAB1;ATP5F1C;ATP5F1D;NDUFA10;NDUFS5;NDUFA12;NDUFS2;NDUFA2;COX6A1;NDUFS7;NDUFS4;NDUFB9;UQCRH;COX7B;ATP5F1B;ATP5PB;ATP5MC1;NDUFA5;TACO1;COX6B1;NDUFA8;TMEM126B;SURF1;COX5B;ATP5MF;NDUFB8;TIMMDC1;NDUFB11;SDHA;UQCRC2;NDUFB6;SDHD;NDUFAF4;NDUFB5;COX8A;ATP5MC2;ATP5PD;UCP2;NDUFS1;NDUFB4;ETFDH;NDUFAF6;NDUFA7;SCO2;NDUFS6;NDUFAF3,IC-B
prerank,Reactome_2022__Mitochondrial Translation Initiation R-HSA-5368286,0.8770671874756409,1.3662584391013355,0.001,0.22928550351282778,0.58,71/82,10.25%,MRPS7;CHCHD1;AURKAIP1;MRPL17;MRPL48;MRPS5;MRPL52;MTIF3;MRPS34;MRPS15;MRPS36;MRPS33;MRPS24;MRPL4;MRPS26;MRPL16;MRPS25;MRPL13;MRPS17;MRPL14;MRPL54;MRPS23;MRPL21;MRPL11;MRPL18;MRPL24;MRPL36;MRPL3;MRPS18C;MRPS18B;MRPL33;MRPL12;MRPL55;MRPL57;MRPL23;MRPL49;MRPL34;MTIF2;MRPL58;PTCD3;MRPS18A;MRPS11;MRPS30;MRPS9;MRPL37;MRPL35;GADD45GIP1;ERAL1;MRPL32;MRPS22;MRPS16;MRPL9;OXA1L;MRPL20;MRPS21;MTFMT;MRPL46;MRPS14;MRPL41;MRPS10;MRPL40;MRPS35;MRPL15;MRPL38;MRPL53;MRPL1;MRPL44;MRPL19;MRPL10;MRPL43;MRPL50,IC-B
prerank,Reactome_2022__Vif-mediated Degradation Of APOBEC3G R-HSA-180585,0.8739117117833184,1.357492216112469,0.001,0.2767238835499646,0.711,39/53,8.38%,UBA52;PSMB8;RBX1;PSMD9;PSMB7;PSMB5;PSME2;PSMA2;PSMA6;PSME1;PSMC5;ELOB;PSMB2;PSMA4;PSMB6;ELOC;PSMD6;PSMD3;PSMD13;PSMC3;UBB;PSMA5;PSMB3;RPS27A;PSMC2;PSMB1;UBC;PSMA7;PSMA1;PSMC1;PSMD14;PSMD7;PSMC6;SEM1;PSMA3;PSMD11;PSMB4;PSMB10;PSMC4,IC-B
prerank,Reactome_2022__Mitochondrial Translation Elongation R-HSA-5389840,0.8734866589570448,1.3562717919876324,0.001,0.25007961637403914,0.735,70/82,10.25%,MRPS7;CHCHD1;AURKAIP1;MRPL17;MRPL48;MRPS5;MRPL52;MRPS34;MRPS15;MRPS36;MRPS33;MRPS24;MRPL4;MRPS26;MRPL16;MRPS25;MRPL13;MRPS17;MRPL14;MRPL54;MRPS23;MRPL21;MRPL11;MRPL18;MRPL24;MRPL36;MRPL3;MRPS18C;MRPS18B;MRPL33;MRPL12;MRPL55;MRPL57;MRPL23;MRPL49;MRPL34;MRPL58;PTCD3;MRPS18A;MRPS11;MRPS30;MRPS9;MRPL37;MRPL35;GADD45GIP1;ERAL1;MRPL32;MRPS22;MRPS16;TUFM;MRPL9;OXA1L;MRPL20;MRPS21;MRPL46;TSFM;MRPS14;MRPL41;MRPS10;MRPL40;MRPS35;MRPL15;MRPL38;MRPL53;MRPL1;MRPL44;MRPL19;MRPL10;MRPL43;MRPL50,IC-B
prerank,Reactome_2022__Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,0.8716051888217653,1.3535742225948557,0.001,0.24568114020301343,0.761,37/51,8.38%,UBA52;PSMB8;PSMD9;PSMB7;PSMB5;PSME2;PSMA2;PSMA6;PSME1;PSMC5;PSMB2;PSMA4;PSMB6;PSMD6;PSMD3;PSMD13;PSMC3;UBB;ATM;PSMA5;PSMB3;RPS27A;PSMC2;PSMB1;UBC;PSMA7;PSMA1;PSMC1;PSMD14;PSMD7;PSMC6;SEM1;PSMA3;PSMD11;PSMB4;PSMB10;PSMC4,IC-B
prerank,Reactome_2022__Mitochondrial Translation Termination R-HSA-5419276,0.8702330784083792,1.3530113166491713,0.001,0.2242398258640535,0.768,69/82,10.25%,MRPS7;CHCHD1;AURKAIP1;MRPL17;MRPL48;MRPS5;MRPL52;MRPS34;MRPS15;MRPS36;MRPS33;MRPS24;MRPL4;MRPS26;MRPL16;MRPS25;MRPL13;MRPS17;MRPL14;MRPL54;MRPS23;MRPL21;MRPL11;MRPL18;MRPL24;MRPL36;MRPL3;MRPS18C;MRPS18B;MRPL33;MRPL12;MRPL55;MRPL57;MRPL23;MRPL49;MRPL34;MRPL58;PTCD3;MRPS18A;MRPS11;MRPS30;MRPS9;MRPL37;MRPL35;GADD45GIP1;ERAL1;MRPL32;MRPS22;MRPS16;MRPL9;OXA1L;MRPL20;MRPS21;MRPL46;MRPS14;MRPL41;MRPS10;MRPL40;MRPS35;GFM2;MRPL15;MRPL38;MRPL53;MRPL1;MRPL44;MRPL19;MRPL10;MRPL43;MRPL50,IC-B
prerank,Reactome_2022__Mitochondrial Translation R-HSA-5368287,0.8690937788012348,1.351829155125299,0.001,0.21164815708876414,0.781,74/88,10.25%,MRPS7;CHCHD1;AURKAIP1;MRPL17;MRPL48;MRPS5;MRPL52;MTIF3;MRPS34;MRPS15;MRPS36;MRPS33;MRPS24;MRPL4;MRPS26;MRPL16;MRPS25;MRPL13;MRPS17;MRPL14;MRPL54;MRPS23;MRPL21;MRPL11;MRPL18;MRPL24;MRPL36;MRPL3;MRPS18C;MRPS18B;MRPL33;MRPL12;MRPL55;MRPL57;MRPL23;MRPL49;MRPL34;MTIF2;MRPL58;PTCD3;MRPS18A;MRPS11;MRPS30;MRPS9;MRPL37;MRPL35;GADD45GIP1;ERAL1;MRPL32;MRPS22;MRPS16;TUFM;MRPL9;OXA1L;MRPL20;MRPS21;MTFMT;MRPL46;TSFM;MRPS14;MRPL41;MRPS10;MRPL40;MRPS35;GFM2;MRPL15;MRPL38;MRPL53;MRPL1;MRPL44;MRPL19;MRPL10;MRPL43;MRPL50,IC-B
prerank,Reactome_2022__Hh Mutants Are Degraded By ERAD R-HSA-5362768,0.8685702935697918,1.3515609252533372,0.001,0.19323675784358169,0.782,40/55,8.38%,UBA52;PSMB8;PSMD9;PSMB7;PSMB5;OS9;PSME2;PSMA2;PSMA6;PSME1;PSMC5;PSMB2;PSMA4;PSMB6;PSMD6;PSMD3;PSMD13;PSMC3;DERL2;UBB;PSMA5;PSMB3;VCP;RPS27A;PSMC2;PSMB1;UBC;PSMA7;PSMA1;PSMC1;PSMD14;PSMD7;PSMC6;SEM1;PSMA3;SYVN1;PSMD11;PSMB4;PSMB10;PSMC4,IC-B
prerank,Reactome_2022__Negative Regulation Of NOTCH4 Signaling R-HSA-9604323,0.8662515296594023,1.3513563681989464,0.001,0.1778094550893393,0.784,38/53,8.38%,UBA52;PSMB8;RBX1;PSMD9;PSMB7;PSMB5;PSME2;PSMA2;PSMA6;PSME1;PSMC5;PSMB2;PSMA4;PSMB6;PSMD6;PSMD3;PSMD13;PSMC3;UBB;PSMA5;PSMB3;RPS27A;PSMC2;PSMB1;UBC;PSMA7;PSMA1;PSMC1;PSMD14;PSMD7;PSMC6;SEM1;PSMA3;FBXW7;PSMD11;PSMB4;PSMB10;PSMC4,IC-B
