Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,-0.9488243704523157,-1.7619358817628927,0.001,0.001,0.001,62/98,1.28%,RPL39;RPS28;RPS3A;RPL41;RPL6;RPL36;RPL13A;RPLP1;RPL34;RPS6;RPL22;RPL36A;RPS29;RPL11;RPL26;RPL32;RPL12;RPS5;RPS23;RPS8;RPS27;RPS24;RPS27A;RPL9;RPL18A;RPS15A;RPL35;RPL38;RPS12;RPL5;RPL37;RPS19;RPL37A;RPS3;RPS15;RPL31;RPS11;RPL4;RPL7;RPLP0;RPS13;RPL23;RPL21;RPL14;RPL29;RPS14;RPL15;RPL7A;RPL3;RPS20;EIF2S3;RPL35A;EIF2S2;RPL10A;RPL30;RPS4Y1;RPS2;DDIT3;RPL8;RPS4X;RPS10;RSL24D1,M-TAL
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,-0.9542043299913286,-1.7537161399192667,0.001,0.001,0.001,63/90,1.28%,RPL39;RPS28;EEF1A1;RPS3A;RPL41;RPL6;RPL36;RPL13A;RPLP1;RPL34;RPS6;RPL22;RPL36A;RPS29;RPL11;RPL26;RPL32;RPL12;RPS5;RPS23;RPS8;RPS27;RPS24;RPS27A;RPL9;RPL18A;RPS15A;RPL35;RPL38;RPS12;EEF1D;RPL5;RPL37;RPS19;RPL37A;RPS3;RPS15;RPL31;RPS11;RPL4;EEF2;RPL7;RPLP0;RPS13;EEF1B2;RPL23;RPL21;RPL14;RPL29;RPS14;RPL15;RPL7A;RPL3;RPS20;RPL35A;RPL10A;RPL30;RPS4Y1;RPS2;RPL8;RPS4X;RPS10;RSL24D1,M-TAL
prerank,Reactome_2022__Cellular Response To Starvation R-HSA-9711097,-0.9166121020216906,-1.7526535707587418,0.001,0.001,0.001,70/152,1.84%,RPL39;RPS28;RPS3A;RPL41;RPL6;RPL36;RPL13A;RPLP1;RPL34;RPS6;RPL22;RPL36A;RPS29;RPL11;RPL26;RPL32;RPL12;RPS5;RPS23;RPS8;RPS27;RPS24;RPS27A;RPL9;RPL18A;RPS15A;RPL35;RPL38;RPS12;RPL5;RPL37;RPS19;RPL37A;RPS3;RPS15;RPL31;RPS11;RPL4;RPL7;RPLP0;RPS13;ATP6V0C;RPL23;RPL21;RPL14;RPL29;RPS14;RPL15;RPL7A;RPL3;RPS20;EIF2S3;RPL35A;EIF2S2;RPL10A;RPL30;RPS4Y1;RPS2;DDIT3;RPL8;RPS4X;RPS10;RSL24D1;ATP6V1G1;RRAGD;ATP6V1E1;ATP6V0D2;ATP6V1G3;RPS7;RPS17,M-TAL
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,-0.9540158547286369,-1.7440118119019872,0.001,0.001,0.001,61/86,1.28%,RPL39;RPS28;EEF1A1;RPS3A;RPL41;RPL6;RPL36;RPL13A;RPLP1;RPL34;RPS6;RPL22;RPL36A;RPS29;RPL11;RPL26;RPL32;RPL12;RPS5;RPS23;RPS8;RPS27;RPS24;RPS27A;RPL9;RPL18A;RPS15A;RPL35;RPL38;RPS12;RPL5;RPL37;RPS19;RPL37A;RPS3;RPS15;RPL31;RPS11;RPL4;EEF2;RPL7;RPLP0;RPS13;RPL23;RPL21;RPL14;RPL29;RPS14;RPL15;RPL7A;RPL3;RPS20;RPL35A;RPL10A;RPL30;RPS4Y1;RPS2;RPL8;RPS4X;RPS10;RSL24D1,M-TAL
prerank,Reactome_2022__Selenocysteine Synthesis R-HSA-2408557,-0.9483304901398064,-1.742203490514129,0.001,0.001,0.001,59/89,1.28%,RPL39;RPS28;RPS3A;RPL41;RPL6;RPL36;RPL13A;RPLP1;RPL34;RPS6;RPL22;RPL36A;RPS29;RPL11;RPL26;RPL32;RPL12;RPS5;RPS23;RPS8;RPS27;RPS24;RPS27A;RPL9;RPL18A;RPS15A;RPL35;RPL38;RPS12;RPL5;RPL37;RPS19;RPL37A;RPS3;RPS15;RPL31;RPS11;RPL4;RPL7;RPLP0;RPS13;RPL23;RPL21;RPL14;RPL29;RPS14;RPL15;RPL7A;RPL3;RPS20;RPL35A;RPL10A;RPL30;RPS4Y1;RPS2;RPL8;RPS4X;RPS10;RSL24D1,M-TAL
prerank,Reactome_2022__Influenza Viral RNA Transcription And Replication R-HSA-168273,-0.9177132161777647,-1.7421788685255641,0.001,0.001,0.001,76/137,3.17%,RPL39;RPS28;RPS3A;RPL41;RPL6;RPL36;RPL13A;RPLP1;RPL34;RPS6;RPL22;RPL36A;RPS29;RPL11;RPL26;RPL32;RPL12;RPS5;RPS23;RPS8;RPS27;RPS24;RPS27A;RPL9;RPL18A;RPS15A;RPL35;RPL38;RPS12;RPL5;RPL37;RPS19;RPL37A;RPS3;RPS15;RPL31;RPS11;RPL4;RPL7;RPLP0;RPS13;RPL23;RPL21;RPL14;RPL29;RPS14;RPL15;RPL7A;HSP90AA1;RPL3;RPS20;RPL35A;RPL10A;RPL30;RPS4Y1;POLR2J;RPS2;POLR2H;RPL8;RPS4X;RPS10;RSL24D1;PARP1;RPS7;RPS17;POLR2K;POLR2A;NUP98;RPS25;POLR2E;GRSF1;POLR2I;GTF2F2;RPL28;DNAJC3;RPS27L,M-TAL
prerank,Reactome_2022__L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,-0.9415732642429276,-1.740557147485277,0.001,0.001,0.001,72/108,1.84%,RPL39;RPS28;RPS3A;RPL41;RPL6;RPL36;RPL13A;RPLP1;RPL34;RPS6;RPL22;RPL36A;RPS29;RPL11;RPL26;RPL32;RPL12;RPS5;RPS23;RPS8;RPS27;RPS24;RPS27A;RPL9;RPL18A;RPS15A;RPL35;RPL38;RPS12;RPL5;EIF4A2;RPL37;RPS19;RPL37A;RPS3;RPS15;RPL31;RPS11;RPL4;RPL7;RPLP0;RPS13;RPL23;RPL21;RPL14;RPL29;RPS14;RPL15;EIF4B;RPL7A;RPL3;RPS20;EIF3L;EIF2S3;RPL35A;EIF2S2;RPL10A;RPL30;RPS4Y1;RPS2;EIF3J;RPL8;EIF3B;RPS4X;EIF3E;EIF3H;RPS10;RSL24D1;EIF3M;EIF3G;RPS7;RPS17,M-TAL
prerank,Reactome_2022__Formation Of A Pool Of Free 40S Subunits R-HSA-72689,-0.9438661702243559,-1.7394477445394148,0.001,0.001,0.001,68/98,1.84%,RPL39;RPS28;RPS3A;RPL41;RPL6;RPL36;RPL13A;RPLP1;RPL34;RPS6;RPL22;RPL36A;RPS29;RPL11;RPL26;RPL32;RPL12;RPS5;RPS23;RPS8;RPS27;RPS24;RPS27A;RPL9;RPL18A;RPS15A;RPL35;RPL38;RPS12;RPL5;RPL37;RPS19;RPL37A;RPS3;RPS15;RPL31;RPS11;RPL4;RPL7;RPLP0;RPS13;RPL23;RPL21;RPL14;RPL29;RPS14;RPL15;RPL7A;RPL3;RPS20;EIF3L;RPL35A;RPL10A;RPL30;RPS4Y1;RPS2;EIF3J;RPL8;EIF3B;RPS4X;EIF3E;EIF3H;RPS10;RSL24D1;EIF3M;EIF3G;RPS7;RPS17,M-TAL
prerank,Reactome_2022__GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,-0.9419345653646828,-1.7382107101695756,0.001,0.001,0.001,72/109,1.84%,RPL39;RPS28;RPS3A;RPL41;RPL6;RPL36;RPL13A;RPLP1;RPL34;RPS6;RPL22;RPL36A;RPS29;RPL11;RPL26;RPL32;RPL12;RPS5;RPS23;RPS8;RPS27;RPS24;RPS27A;RPL9;RPL18A;RPS15A;RPL35;RPL38;RPS12;RPL5;EIF4A2;RPL37;RPS19;RPL37A;RPS3;RPS15;RPL31;RPS11;RPL4;RPL7;RPLP0;RPS13;RPL23;RPL21;RPL14;RPL29;RPS14;RPL15;EIF4B;RPL7A;RPL3;RPS20;EIF3L;EIF2S3;RPL35A;EIF2S2;RPL10A;RPL30;RPS4Y1;RPS2;EIF3J;RPL8;EIF3B;RPS4X;EIF3E;EIF3H;RPS10;RSL24D1;EIF3M;EIF3G;RPS7;RPS17,M-TAL
prerank,Reactome_2022__Viral mRNA Translation R-HSA-192823,-0.9472936435447662,-1.738186623934646,0.001,0.001,0.001,59/90,1.28%,RPL39;RPS28;RPS3A;RPL41;RPL6;RPL36;RPL13A;RPLP1;RPL34;RPS6;RPL22;RPL36A;RPS29;RPL11;RPL26;RPL32;RPL12;RPS5;RPS23;RPS8;RPS27;RPS24;RPS27A;RPL9;RPL18A;RPS15A;RPL35;RPL38;RPS12;RPL5;RPL37;RPS19;RPL37A;RPS3;RPS15;RPL31;RPS11;RPL4;RPL7;RPLP0;RPS13;RPL23;RPL21;RPL14;RPL29;RPS14;RPL15;RPL7A;RPL3;RPS20;RPL35A;RPL10A;RPL30;RPS4Y1;RPS2;RPL8;RPS4X;RPS10;RSL24D1,M-TAL
