Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,"Reactome_2022__Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",0.8634181646971472,1.7091780436876514,0.001,0.0024446906905472303,0.002,67/112,5.26%,ATP5F1D;COX5B;UQCR11;NDUFS6;ATP5MF;UQCRQ;UQCRH;NDUFAB1;NDUFAF3;NDUFB4;NDUFA1;NDUFB2;ATP5F1E;ATP5MC3;NDUFB10;SURF1;ATP5PD;NDUFA13;ATP5F1B;NDUFC1;ATP5PF;COX6C;ATP5MC2;NDUFB3;COX14;ATP5PO;COA1;NDUFA10;ATP5MC1;NDUFV2;ATP5MG;COX4I1;NDUFA6;NDUFB1;NDUFS3;TMEM126B;NDUFS4;NDUFV3;NDUFA7;CYCS;NDUFA11;NDUFA9;NDUFA3;UCP2;NDUFS5;COX5A;NDUFB5;ETFB;COX8A;NDUFA5;NDUFB11;NDUFB8;NDUFB6;SCO1;COX7A2L;NDUFB9;COX7C;SDHB;NDUFC2;COX18;UQCRB;TACO1;SCO2;NDUFS7;NDUFAF2;COX7B;COX16,Non-classical monocytes
prerank,Reactome_2022__Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,0.8247809622207285,1.7075198466008519,0.001,0.0012223453452736152,0.002,86/163,6.89%,ATP5F1D;COX5B;UQCR11;NDUFS6;ATP5MF;UQCRQ;UQCRH;NDUFAB1;NDUFAF3;IDH3G;NDUFB4;NDUFA1;NDUFB2;ATP5F1E;ATP5MC3;NDUFB10;SURF1;ATP5PD;NDUFA13;ATP5F1B;NDUFC1;ATP5PF;SUCLG1;COX6C;ATP5MC2;NDUFB3;COX14;ATP5PO;COA1;NDUFA10;ATP5MC1;NDUFV2;ATP5MG;COX4I1;NDUFA6;NDUFB1;NDUFS3;TMEM126B;NDUFS4;NDUFV3;NDUFA7;CYCS;CS;NDUFA11;NDUFA9;NDUFA3;UCP2;NDUFS5;COX5A;NDUFB5;ETFB;IDH2;COX8A;NDUFA5;NDUFB11;NDUFB8;HAGH;NDUFB6;SCO1;RXRA;COX7A2L;PDHB;NDUFB9;COX7C;MPC1;SDHB;NDUFC2;PDHA1;PDHX;COX18;UQCRB;TACO1;SCO2;NDUFS7;NDUFAF2;PDK3;COX7B;COX16;NDUFA2;PPARD;IDH3A;NDUFA12;UQCR10;TMEM186;SUCLA2;COX6B1,Non-classical monocytes
prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,0.7976022613397082,1.6759577649545594,0.001,0.001,0.001,93/200,5.66%,ATP5F1D;COX5B;UQCR11;ATP6V0B;NDUFS6;ATP5MF;MGST3;UQCRQ;UQCRH;NDUFAB1;IDH3G;NDUFB4;NDUFA1;NDUFB2;BAX;ATP5F1E;GPX4;ATP5MC3;ISCU;SURF1;ATP5PD;MDH1;ATP5F1B;NDUFC1;ATP5PF;SUCLG1;ATP6V1F;COX6C;ATP5MC2;NDUFB3;ATP5PO;ATP5MC1;ATP6V0E1;NDUFV2;ATP5MG;COX4I1;NDUFA6;GLUD1;NDUFB1;NDUFS3;NDUFS4;ATP1B1;NDUFA7;CYCS;ATP6AP1;CS;COX7A2;NDUFA9;NDUFA3;ATP6V1G1;COX5A;NDUFB5;ETFB;SLC25A5;IDH2;TIMM13;COX8A;NDUFA5;NDUFB8;AFG3L2;NDUFB6;SDHC;FH;COX7A2L;ACADM;PDHB;POR;COX7C;MPC1;ACADVL;TIMM10;CYC1;SLC25A3;SDHB;NDUFC2;PDHA1;TIMM50;PDHX;DECR1;COX17;MRPS15;UQCRB;ATP6V1E1;TIMM17A;NDUFS7;OAT;COX7B;FDX1;HCCS;FXN;ECI1;NDUFA2;ATP6V1C1,Non-classical monocytes
prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.8486188819611665,1.6617011858023787,0.001,0.001,0.001,54/96,7.59%,IFITM3;HLA-C;PLSCR1;UBE2L6;STAT2;PSME1;GBP2;LY6E;PSME2;BST2;B2M;ISG15;LAP3;MX1;SAMD9;IFITM2;IL15;CASP1;RIPK2;IFI44;IRF1;IFIT3;PSMB8;TRIM25;IFI35;TRIM21;PARP14;PSMB9;EIF2AK2;EPSTI1;GBP4;OGFR;IFI44L;IRF9;ISG20;OASL;TAP1;CMPK2;CD47;NMI;PARP9;GMPR;IFITM1;CASP8;OAS1;PARP12;NUB1;RSAD2;HERC6;ADAR;TRIM26;ELF1;RTP4;TRAFD1,Non-classical monocytes
prerank,Reactome_2022__Respiratory Electron Transport R-HSA-611105,0.8495344860477639,1.6475903578794817,0.001,0.006519175174792614,0.013,60/90,6.89%,COX5B;UQCR11;NDUFS6;UQCRQ;UQCRH;NDUFAB1;NDUFAF3;NDUFB4;NDUFA1;NDUFB2;NDUFB10;SURF1;NDUFA13;NDUFC1;COX6C;NDUFB3;COX14;COA1;NDUFA10;NDUFV2;COX4I1;NDUFA6;NDUFB1;NDUFS3;TMEM126B;NDUFS4;NDUFV3;NDUFA7;CYCS;NDUFA11;NDUFA9;NDUFA3;NDUFS5;COX5A;NDUFB5;ETFB;COX8A;NDUFA5;NDUFB11;NDUFB8;NDUFB6;SCO1;COX7A2L;NDUFB9;COX7C;SDHB;NDUFC2;COX18;UQCRB;TACO1;SCO2;NDUFS7;NDUFAF2;COX7B;COX16;NDUFA2;NDUFA12;UQCR10;TMEM186;COX6B1,Non-classical monocytes
prerank,Reactome_2022__Interferon Alpha/Beta Signaling R-HSA-909733,0.8431511214878328,1.607725794471474,0.001,0.03300332432238761,0.077,32/72,6.10%,IFITM3;STAT1;HLA-C;STAT2;IFI6;GBP2;BST2;ISG15;HLA-E;MX1;IFITM2;IFIT1;XAF1;IRF3;IRF1;IFIT3;IFIT5;PSMB8;IFI35;IP6K2;OAS2;HLA-B;IRF9;ISG20;OASL;IFITM1;KPNB1;IFNAR1;SOCS3;OAS1;RSAD2;MX2,Non-classical monocytes
prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.7714136151342894,1.6061143436862984,0.001,0.0020274743462429658,0.005,89/198,6.62%,IFITM3;MT2A;STAT1;VAMP5;TNFSF10;PLSCR1;UBE2L6;STAT2;VAMP8;PSME1;LY6E;NFKB1;PSME2;PTPN2;BST2;B2M;ISG15;RNF213;LAP3;SECTM1;MX1;SRI;IFITM2;IL15;CASP1;RIPK2;IFI44;IFIT1;CDKN1A;XAF1;IRF1;NFKBIA;IFIT3;PSMA2;GCH1;MYD88;PSMB8;TRIM25;PIM1;IFI35;LCP2;TRIM21;PARP14;NOD1;PSMB9;OAS2;HLA-B;FAS;EIF2AK2;UPP1;ST3GAL5;EPSTI1;PSMB2;PNP;GBP4;OGFR;SERPING1;IFI44L;IRF9;ISG20;CASP3;PLA2G4A;OASL;RBCK1;TAP1;PDE4B;STAT3;PELI1;CD86;IL10RA;RAPGEF6;SOD2;CMPK2;TNFAIP3;NMI;ICAM1;HLA-DQA1;CASP8;SOCS3;FPR1;PARP12;TAPBP;RSAD2;MVP;MX2;HERC6;JAK2;ADAR;APOL6,Non-classical monocytes
prerank,Reactome_2022__Antigen processing-Cross Presentation R-HSA-1236975,0.7963761223304,1.581583705995331,0.001,0.07774116395940193,0.19,46/104,6.43%,HLA-C;PSMA7;PSMA4;VAMP8;PSME1;PSME2;SEC61G;B2M;PSMB6;PSMB4;CYBA;HLA-E;PSMC3;TLR1;PSMB1;PSMA1;PSMB3;PSMA2;MYD88;PSMB8;PSMC6;PSMD9;PSMB9;HLA-B;CYBB;UBC;UBB;PSMB2;UBA52;RPS27A;PSMC4;IKBKB;SEC61A1;PSME4;CTSS;LY96;PSMB7;PSMD14;STX4;TAPBP;NDUFA2;PSMD4;PSMC5;PSMD7;S100A8;SEC61B,Non-classical monocytes
prerank,Reactome_2022__ER-Phagosome Pathway R-HSA-1236974,0.8031859877566961,1.57439986391861,0.001,0.08413810459966718,0.24,44/89,6.87%,HLA-C;PSMA7;PSMA4;VAMP8;PSME1;PSME2;SEC61G;B2M;PSMB6;PSMB4;HLA-E;PSMC3;TLR1;PSMB1;PSMA1;PSMB3;PSMA2;MYD88;PSMB8;PSMC6;PSMD9;PSMB9;HLA-B;UBC;UBB;PSMB2;UBA52;RPS27A;PSMC4;IKBKB;SEC61A1;PSME4;LY96;PSMB7;PSMD14;STX4;TAPBP;NDUFA2;PSMD4;PSMC5;PSMD7;S100A8;SEC61B;PSMA5,Non-classical monocytes
prerank,Reactome_2022__G1/S DNA Damage Checkpoints R-HSA-69615,0.8216035775669004,1.572145208916472,0.0013812154696132596,0.07840472286112189,0.256,31/67,6.24%,ATM;PSMA7;CARD16;PSMA4;PSME1;PSME2;PHF20;PSMB6;PSMB4;PSMC3;PSMB1;CDKN1A;PSMA1;PSMB3;PSMA2;PSMB8;PSMC6;PSMD9;PSMB9;UBC;UBB;PSMB2;UBA52;RPS27A;PSMC4;PSME4;PSMB7;PSMD14;PSMD4;PSMC5;PSMD7,Non-classical monocytes
