Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Na+/Cl- Dependent Neurotransmitter Transporters R-HSA-442660,0.9517327870092781,1.6337886588031578,0.001,1.0,0.352,3/19,2.48%,SLC6A12;SLC6A13;SLC22A2,PC
prerank,"Reactome_2022__Synthesis, Secretion, And Deacylation Of Ghrelin R-HSA-422085",0.9498177124388733,1.6053891441127552,0.005076142131979695,0.8611568679873394,0.5,5/19,2.10%,SPCS1;SEC11C;SEC11A;SPCS3;SPCS2,PC
prerank,"Reactome_2022__Synthesis, Secretion, And Inactivation Of Glucose-dependent Insulinotropic Polypeptide (GIP) R-HSA-400511",0.9710600347237095,1.5637996768760847,0.00909090909090909,1.0,0.73,5/13,2.10%,SPCS1;SEC11C;SEC11A;SPCS3;SPCS2,PC
prerank,Reactome_2022__Mitochondrial Translation Elongation R-HSA-5389840,0.7623833798789786,1.5581559487498915,0.001,0.9407055566575535,0.759,27/82,5.21%,MRPS6;MRPL21;MRPS15;MRPL36;MRPS36;MRPS18C;MRPS24;MRPL32;MRPS23;MRPL9;MRPL40;TSFM;MRPS18A;MRPL15;MRPL34;MRPS18B;MRPS22;MRPS35;MRPL16;MRPL49;MRPL1;ERAL1;MRPL44;MRPL58;MRPL39;MRPL11;MRPS5,PC
prerank,Reactome_2022__Passive Transport By Aquaporins R-HSA-432047,0.9676716539670009,1.5570706933343688,0.0047169811320754715,0.7639382152805927,0.764,4/12,1.67%,AQP2;AQP3;AQP7;AQP6,PC
prerank,Reactome_2022__Mitochondrial Translation Initiation R-HSA-5368286,0.7571046018765274,1.556088138383276,0.001,0.6476730113007506,0.772,26/82,5.21%,MRPS6;MRPL21;MRPS15;MRPL36;MRPS36;MRPS18C;MRPS24;MRPL32;MRPS23;MRPL9;MRPL40;MRPS18A;MRPL15;MRPL34;MRPS18B;MRPS22;MRPS35;MRPL16;MRPL49;MRPL1;ERAL1;MRPL44;MRPL58;MRPL39;MRPL11;MRPS5,PC
prerank,Reactome_2022__Dissolution Of Fibrin Clot R-HSA-75205,0.9668976398460839,1.5549441523826837,0.009259259259259259,0.5646264370294349,0.779,2/13,0.06%,ANXA2;S100A10,PC
prerank,Reactome_2022__Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,0.7942197419512456,1.5397656881627262,0.018518518518518517,0.6169254685168736,0.834,23/51,4.88%,UBC;PSMA7;PSMB1;PSMB5;PSMA6;PSMB6;PSMD8;PSMA5;PSME2;PSMD9;PSMB8;PSMB2;PSMC2;PSMB7;PSMA2;PSMD13;PSMD2;PSMD7;RPS27A;PSMB3;PSMC1;PSMC4;PSMD11,PC
prerank,Reactome_2022__Mitochondrial Translation R-HSA-5368287,0.7468288745247658,1.531991800633379,0.009900990099009901,0.6154774191013637,0.867,28/88,5.21%,MRPS6;MRPL21;MRPS15;MRPL36;MRPS36;MRPS18C;MRPS24;MRPL32;MRPS23;MRPL9;MRPL40;TSFM;MRPS18A;MRPL15;MRPL34;MRPS18B;MRPS22;MRPS35;MRPL16;MRPL49;MRPL1;GFM2;ERAL1;MRPL44;MRPL58;MRPL39;MRPL11;MRPS5,PC
prerank,Reactome_2022__Mitochondrial Translation Termination R-HSA-5419276,0.7528510247953389,1.5215742702700807,0.00980392156862745,0.6451906408741623,0.91,27/82,5.21%,MRPS6;MRPL21;MRPS15;MRPL36;MRPS36;MRPS18C;MRPS24;MRPL32;MRPS23;MRPL9;MRPL40;MRPS18A;MRPL15;MRPL34;MRPS18B;MRPS22;MRPS35;MRPL16;MRPL49;MRPL1;GFM2;ERAL1;MRPL44;MRPL58;MRPL39;MRPL11;MRPS5,PC
