Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,-0.7676582857698148,-1.8632334838480142,0.038461538461538464,0.15964099823863526,0.119,7/39,9.15%,CASR;GRM8;GRM1;GRM4;GABBR2;GRM7;GRM5,PT
prerank,Reactome_2022__Presynaptic Depolarization And Calcium Channel Opening R-HSA-112308,-0.8597920632385015,-1.5906875505985691,0.028089887640449437,0.7241633517386056,0.71,8/12,10.88%,CACNB2;CACNA1A;CACNA2D3;CACNB4;CACNG2;CACNA1B;CACNG4;CACNA2D1,PT
prerank,Reactome_2022__Ion Transport By P-type ATPases R-HSA-936837,-0.6821701007320763,-1.558869082517566,0.058823529411764705,0.6344706340253452,0.804,3/52,1.69%,FXYD2;SRI;ATP8A2,PT
prerank,Reactome_2022__RUNX1 And FOXP3 Control Development Of Regulatory T Lymphocytes (Tregs) R-HSA-8877330,-0.8783638306558554,-1.526370672944317,0.009569377990430622,0.6255615587088603,0.886,4/10,10.73%,RUNX1;CBFB;CR1;NFATC2,PT
prerank,Reactome_2022__Serotonin Receptors R-HSA-390666,-0.8519127242078711,-1.5221590440346568,0.04864864864864865,0.5146074531457183,0.893,3/11,12.52%,HTR4;HTR2C;HTR7,PT
prerank,Reactome_2022__Cardiac Conduction R-HSA-5576891,-0.5770584955643646,-1.461900324429504,0.001,0.6914164803050394,0.972,24/125,5.98%,FXYD2;CACNB2;RYR2;KCNIP4;SRI;CACNA1C;WWTR1;KCND2;STIM1;TRDN;FGF12;PRKCA;ORAI2;RYR3;SCN8A;CORIN;FGF14;KCNIP1;ATP1A3;KCNE4;KCNJ14;SCN11A;KCNK12;ASPH,PT
prerank,Reactome_2022__Acetylcholine Regulates Insulin Secretion R-HSA-399997,-0.8290138483295442,-1.4432844727584704,0.026905829596412557,0.6796351741432785,0.982,7/10,8.59%,PLCB1;GNA11;GNA14;PRKCA;GNAQ;CHRM3;GNA15,PT
prerank,Reactome_2022__Peptide Hormone Biosynthesis R-HSA-209952,-0.7970488061346072,-1.4319234331629818,0.05434782608695652,0.6464196303113064,0.992,1/12,0.38%,POMC,PT
prerank,Reactome_2022__FGFR2 Ligand Binding And Activation R-HSA-190241,-0.6441769445206841,-1.4277133743280086,0.09183673469387756,0.5938580924925401,0.993,7/20,20.66%,FGF5;FGF1;FGF18;FGF9;FGF10;FGF22;FGF13,PT
prerank,Reactome_2022__Response To Metal Ions R-HSA-5660526,0.9967271888387235,1.4190985153633178,0.001,0.10723029474420527,0.074,6/14,0.03%,MT1G;MT1H;MT2A;MT1F;MT1E;MT1X,PT
prerank,Reactome_2022__Eukaryotic Translation Termination R-HSA-72764,0.9504274906728617,1.415943827894177,0.001,0.06484879729768606,0.09,76/90,3.87%,RPS4X;RPS29;RPL3;RPS2;RPL35;RPS21;RPS27;RPS6;RPL37A;RPS15A;RPL37;RPL8;RPS3;RPS7;RPS3A;RPL15;RPS23;RPS19;RPL35A;RPL23A;RPL29;RPL11;RPL31;RPS8;RPS12;RPLP0;RPL28;RPS9;RPL19;RPS28;RPS15;RPL36AL;RPL10A;RPL21;RPL12;RPL41;RPL18;RPL34;RPL18A;RPL36A;RPL30;RPS25;RPL22;RPS14;RPL36;RPL5;RPLP1;RPS27A;RPS17;RPL26;RPS5;TRMT112;RPL38;RPL32;RPL7;RSL24D1;RPL27A;RPL14;RPL7A;RPL27;RPL23;RPLP2;RPL6;RPL4;RPL39;RPS24;MRPL13;RPL26L1;RPS20;UBA52;RPL9;RPS13;RPS27L;RPL22L1;FAU;RPS11,PT
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,0.9524331929188453,1.4156064599214682,0.001,0.04357294516589928,0.091,77/86,3.87%,RPS4X;RPS29;RPL3;RPS2;RPL35;RPS21;RPS27;RPS6;RPL37A;RPS15A;RPL37;RPL8;RPS3;RPS7;RPS3A;RPL15;RPS23;RPS19;RPL35A;RPL23A;RPL29;RPL11;RPL31;RPS8;RPS12;RPLP0;RPL28;RPS9;RPL19;RPS28;RPS15;RPL36AL;RPL10A;RPL21;RPL12;RPL41;RPL18;RPL34;RPL18A;RPL36A;RPL30;RPS25;RPL22;RPS14;EEF2;RPL36;RPL5;RPLP1;RPS27A;RPS17;RPL26;RPS5;RPL38;RPL32;RPL7;RSL24D1;RPL27A;RPL14;RPL7A;RPL27;RPL23;RPLP2;RPL6;RPL4;RPL39;RPS24;MRPL13;RPL26L1;RPS20;UBA52;RPL9;RPS13;RPS27L;EEF1A1;RPL22L1;FAU;RPS11,PT
