Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Phase 2 - Plateau Phase R-HSA-5576893,-0.947939866650365,-1.639421924838264,0.021739130434782608,0.4395084212585981,0.416,3/15,2.44%,AKAP9;CACNB2;KCNQ1,Podocytes
prerank,Reactome_2022__Amine Ligand-Binding Receptors R-HSA-375280,-0.7365753827658496,-1.6004677477543465,0.015151515151515152,0.3937897921401587,0.596,4/40,10.12%,DRD4;DHX34;CHRM3;CHRM5,Podocytes
prerank,Reactome_2022__Fatty Acids R-HSA-211935,-0.9189876185530381,-1.5751580161959096,0.05325443786982249,0.3714384623489216,0.706,1/14,8.10%,CYP4F3,Podocytes
prerank,Reactome_2022__Defective B3GALTL Causes PpS R-HSA-5083635,-0.73800729093818,-1.5255864839801798,0.03773584905660377,0.5118962506961273,0.896,2/37,0.15%,THSD7A;ADAMTS19,Podocytes
prerank,Reactome_2022__Beta Defensins R-HSA-1461957,0.9727349796264391,1.507061699155951,0.001,0.001,0.001,1/34,2.73%,DEFB1,Podocytes
prerank,Reactome_2022__O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214,-0.7172296524182075,-1.4899487573701717,0.0392156862745098,0.6217733560107769,0.967,2/38,0.15%,THSD7A;ADAMTS19,Podocytes
prerank,Reactome_2022__Eicosanoids R-HSA-211979,-0.923158382730981,-1.4686191000952606,0.03428571428571429,0.6540811872544741,0.987,1/12,0.33%,TBXAS1,Podocytes
prerank,Reactome_2022__Defensins R-HSA-1461973,0.9196635955853848,1.4355073451632843,0.001,0.02392558656201663,0.043,1/41,2.73%,DEFB1,Podocytes
prerank,Reactome_2022__Miscellaneous Substrates R-HSA-211958,-0.9184476632959825,-1.415361894299877,0.08415841584158416,0.9181171558013473,1.0,2/11,8.16%,CYP4F3;CYP2U1,Podocytes
prerank,Reactome_2022__Tandem Pore Domain Potassium Channels R-HSA-1296346,-0.8553663669408839,-1.3872680567764675,0.1774193548387097,1.0,1.0,3/12,14.47%,KCNK3;KCNK6;KCNK1,Podocytes
prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,0.8274508365588871,1.375438076948569,0.001,0.003989821882951654,0.004,124/200,9.94%,NDUFA1;ATP5MF;COX6B1;ATP1B1;NDUFS7;NDUFB7;NDUFA4;UQCR10;ECH1;COX4I1;NDUFB3;SLC25A3;ATP5F1E;ISCU;ATP6V0E1;ATP5PO;ATP5PF;HADHB;NDUFA7;ATP6V1E1;UQCRFS1;ATP5F1B;NDUFB1;MDH1;ATP5F1D;IDH3A;TIMM8B;ATP5MC1;OGDH;COX5B;OAT;NDUFS1;NDUFS3;ATP5MG;TIMM13;SUCLG1;NDUFB2;GPX4;GRPEL1;SLC25A4;COX6C;COX7A2;ISCA1;MDH2;NDUFB8;VDAC3;ATP6V1G1;PRDX3;LDHA;UQCRQ;NDUFA8;MRPL35;ECHS1;NDUFV1;ETFB;COX8A;COX11;NDUFB5;NDUFA2;SDHC;POLR2F;COX7B;PDK4;NDUFA5;MPC1;ATP5PD;ATP6V1F;UQCRH;CYCS;HSPA9;NDUFB4;ACADM;NDUFAB1;DLD;CYB5R3;NDUFV2;MRPL15;SUCLA2;NDUFA6;UQCR11;PHYH;PDHB;ACAT1;AFG3L2;ACADVL;CYB5A;LDHB;NQO2;ECI1;UQCRB;NDUFA3;PMPCA;NDUFS2;ETFA;ATP5PB;NDUFS8;FDX1;SLC25A5;CYC1;PDHA1;TIMM17A;CS;NDUFC2;MRPS11;SDHB;ACAA2;GLUD1;MRPL11;NDUFS4;ATP6V1H;IDH3B;COX7C;MRPS22;ATP5F1C;TIMM9;HCCS;OXA1L;TOMM70;ACAA1;MTX2;SLC25A11;MRPS12;HADHA;IDH1,Podocytes
prerank,Reactome_2022__Interleukin-10 Signaling R-HSA-6783783,0.8629214812558499,1.3697663879536006,0.001,0.4871804220236719,0.651,6/45,9.28%,STAT3;TNFRSF1A;TYK2;IL18;JAK1;TIMP1,Podocytes
prerank,Reactome_2022__Termination Of O-glycan Biosynthesis R-HSA-977068,-0.7118858596353806,-1.3672111551476651,0.09322033898305085,1.0,1.0,4/24,5.30%,ST6GALNAC3;ST6GAL1;ST3GAL3;MUC15,Podocytes
prerank,"Reactome_2022__Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",0.8295886147912834,1.358147118903272,0.001,0.5944988139214132,0.814,65/112,8.56%,NDUFA1;ATP5MF;COX6B1;NDUFA13;NDUFB11;NDUFS7;NDUFS5;NDUFB7;UQCR10;COX4I1;NDUFB3;ATP5F1E;ATP5PO;ATP5PF;NDUFA7;UQCRFS1;ATP5F1B;NDUFA10;NDUFB1;ATP5F1D;ATP5MC1;COX5B;NDUFS1;NDUFS3;ATP5MG;NDUFB2;COX6C;NDUFB8;TIMMDC1;UQCRQ;NDUFA8;NDUFV1;ETFB;COX8A;NDUFB5;NDUFA2;COX16;COX7B;NDUFA5;ATP5PD;UQCRH;CYCS;NDUFA11;NDUFB4;NDUFAB1;NDUFV2;NDUFA6;UQCR11;NDUFB9;TMEM186;UQCRB;NDUFA3;NDUFS2;NDUFAF1;ETFA;ATP5PB;NDUFS8;NDUFC2;COX20;SDHB;NDUFAF6;NDUFS4;COX7C;TACO1;ATP5F1C,Podocytes
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,0.8259004230298571,1.3526469638742185,0.001,0.5852406521648067,0.874,54/90,5.63%,EEF1G;RPS13;EEF1B2;RPS4X;RPL15;RPS14;RPL35A;RPL22;RPL14;RPS24;RPL7A;RPL41;RPSA;FAU;RPL28;RPL34;RPL18A;RPL36AL;RPL19;RPL3;RPL32;RPS12;RPL5;RPS9;RPS3A;RPL37;RPL30;RPS5;RPL36;RPLP1;RPL9;RPS20;RPL13A;RPS23;RPS6;RPS3;RPL8;RPL22L1;RPS29;RPS27L;EEF1A1;RPS8;RPS28;RPS27;RPS25;UBA52;RPS15A;RPL37A;RPL29;RPL27A;RPS2;RPL35;RPLP2;RPS7,Podocytes
prerank,Reactome_2022__Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,0.8172316123174306,1.3496834975326564,0.001,0.5466476407973799,0.894,83/163,8.56%,NDUFA1;ATP5MF;COX6B1;NDUFA13;NDUFB11;NDUFS7;NDUFS5;NDUFB7;UQCR10;COX4I1;NDUFB3;ATP5F1E;ATP5PO;ATP5PF;NDUFA7;UQCRFS1;ATP5F1B;NDUFA10;NDUFB1;BSG;ATP5F1D;IDH3A;ATP5MC1;OGDH;COX5B;NDUFS1;NDUFS3;ATP5MG;SUCLG1;NDUFB2;COX6C;MDH2;NDUFB8;TIMMDC1;LDHA;UQCRQ;NDUFA8;NDUFV1;ETFB;COX8A;NDUFB5;NDUFA2;COX16;COX7B;PDK4;NDUFA5;MPC1;ATP5PD;UQCRH;CYCS;NDUFA11;NDUFB4;NDUFAB1;MPC2;NDUFV2;SUCLA2;NDUFA6;UQCR11;PDHB;NDUFB9;TMEM186;LDHB;UQCRB;NDUFA3;NDUFS2;NDUFAF1;HAGH;LDHD;ETFA;ATP5PB;NDUFS8;FAHD1;PDHA1;CS;NDUFC2;COX20;SDHB;NDUFAF6;NDUFS4;IDH3B;COX7C;TACO1;ATP5F1C,Podocytes
prerank,Reactome_2022__Respiratory Electron Transport R-HSA-611105,0.8265381015270775,1.3431974146904047,0.001,0.5797125042138315,0.931,54/90,8.37%,NDUFA1;COX6B1;NDUFA13;NDUFB11;NDUFS7;NDUFS5;NDUFB7;UQCR10;COX4I1;NDUFB3;NDUFA7;UQCRFS1;NDUFA10;NDUFB1;COX5B;NDUFS1;NDUFS3;NDUFB2;COX6C;NDUFB8;TIMMDC1;UQCRQ;NDUFA8;NDUFV1;ETFB;COX8A;NDUFB5;NDUFA2;COX16;COX7B;NDUFA5;UQCRH;CYCS;NDUFA11;NDUFB4;NDUFAB1;NDUFV2;NDUFA6;UQCR11;NDUFB9;TMEM186;UQCRB;NDUFA3;NDUFS2;NDUFAF1;ETFA;NDUFS8;NDUFC2;COX20;SDHB;NDUFAF6;NDUFS4;COX7C;TACO1,Podocytes
prerank,Reactome_2022__Striated Muscle Contraction R-HSA-390522,0.8752938909894027,1.3431821303055458,0.001095290251916758,0.5072484411871026,0.931,5/33,1.00%,TNNI1;TPM2;TNNT2;TPM3;TPM1,Podocytes
