Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__Expression And Translocation Of Olfactory Receptors R-HSA-9752946,-0.8986198216812463,-2.033343387492396,0.001,0.001,0.001,2/377,1.77%,EBF1;OR51E1,VSMC/P
prerank,Reactome_2022__Olfactory Signaling Pathway R-HSA-381753,-0.8912808518375952,-2.0296696069081968,0.001,0.001,0.001,4/385,4.63%,EBF1;OR51E1;GNB1;REEP1,VSMC/P
prerank,Reactome_2022__Keratinization R-HSA-6805567,0.8633006946479853,1.852940189778384,0.001,0.001,0.001,10/206,6.85%,KRT18;KRT8;FURIN;JUP;CAPNS1;CAPN1;KRT19;KRT10;PERP;KAZN,VSMC/P
prerank,Reactome_2022__Defensins R-HSA-1461973,0.9579195973620107,1.7132077704022295,0.001,0.05400210950606552,0.046,1/41,0.22%,DEFB1,VSMC/P
prerank,Reactome_2022__Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,0.8325577328692245,1.700243460996606,0.001,0.05806678441512422,0.069,9/116,2.74%,B2M;HLA-A;HLA-E;HLA-C;HLA-B;NPDC1;HLA-F;NECTIN2;CD40,VSMC/P
prerank,Reactome_2022__Beta Defensins R-HSA-1461957,0.9741209924166412,1.687560004182268,0.001,0.06619613423324161,0.1,1/34,0.22%,DEFB1,VSMC/P
prerank,Reactome_2022__Neutrophil Degranulation R-HSA-6798695,0.7261151467573114,1.6783150333536254,0.001,0.06968014129814906,0.129,154/461,8.05%,B2M;FTL;HLA-A;CYSTM1;SRP14;NME2;PPIA;STOM;HLA-C;PKM;FTH1;CD59;PRDX5;RNASE1;HLA-B;SDCBP;S100A11;PTPRB;ANXA2;GSN;GSTP1;CYB5R3;CD63;DDX3X;CTSD;TUBB4B;ATP6AP2;CST3;RAB5C;VAMP8;PECAM1;EGFL7;DNAJC3;PDXK;NPC2;LAMP1;DDOST;GRN;PSMA5;CSTB;PSMD7;SERPINB1;TRAPPC1;RHOG;APRT;DYNLL1;CTSH;PSMD6;LAMTOR1;DBNL;PRDX4;PSMD2;HEXB;CRISPLD2;EEF1A1;FUCA1;MLEC;PSMB1;CD36;JUP;SYNGR1;AGPAT2;IQGAP1;TNFRSF1B;CD53;ACAA1;RHOA;GSDMD;TUBB;ATP6V1D;CCT2;CAPN1;CYBA;VAT1;IGF2R;ILF2;PSMC3;GNS;NCSTN;RAB14;OSTF1;XRCC6;TMEM179B;ACTR10;SERPINB6;PDAP1;PIGR;CMTM6;DPP7;CPPED1;QSOX1;CTSC;SLC44A2;VCP;PTX3;ENPP4;TMEM30A;CREG1;FGL2;TIMP2;CDA;METTL7A;RAP2C;LGALS3;ACTR1B;CD93;NBEAL2;AGA;GDI2;CAB39;PFKL;PGM1;MAPK1;NRAS;NAPRT;NDUFA2;ATP6V0C;CTSA;XRCC5;GGH;CKAP4;PLAU;PRKCD;PYCARD;ORMDL3;PSMA2;HUWE1;KCMF1;DYNLT1;COMMD9;PSMD13;HEBP2;LAMTOR2;AIFM2;FUCA2;NFKB1;CTSB;EEF2;PTGES2;RAP1A;FAF2;PTPRN2;AGL;SLCO4C1;PSMD3;DYNC1LI1;LPCAT1;SVIP;DYNC1H1;BST2;RCAN1;PRKCSH;CD44;GNPDA1,VSMC/P
prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.8400723808394852,1.6591645154669619,0.001,0.03264225849139832,0.02,27/96,4.68%,IFI27;B2M;CD74;HLA-C;ISG15;IFITM3;LY6E;IFITM2;LGALS3BP;PSME2;IFIT3;PLSCR1;TXNIP;IRF9;PSMB8;ELF1;LPAR6;IFI44L;PARP14;MVB12A;PSME1;IRF1;C1S;MX1;IRF2;IFIH1;NCOA7,VSMC/P
prerank,Reactome_2022__Interferon Alpha/Beta Signaling R-HSA-909733,0.859426544547158,1.6472825636909094,0.001,0.13297293631063448,0.256,22/72,4.98%,IFI27;HLA-A;HLA-E;HLA-C;ISG15;IFITM3;HLA-B;IFITM2;IFI6;IFIT3;IFNAR1;IRF9;HLA-F;PSMB8;IRF3;STAT1;ABCE1;IRF1;MX1;IRF2;OAS3;IFNAR2,VSMC/P
prerank,Reactome_2022__Mitochondrial Translation Elongation R-HSA-5389840,0.8478044892318688,1.6318176843800791,0.002012072434607646,0.15926889439576927,0.347,50/82,9.38%,MRPS6;AURKAIP1;GADD45GIP1;MRPL32;CHCHD1;MRPL36;MRPL34;MRPL40;TUFM;MRPL54;MRPL18;MRPL38;MRPL17;MRPL21;MRPS21;MRPS15;MRPL13;MRPL14;MRPS17;MRPL51;MRPL30;MRPL49;ERAL1;MRPS16;MRPS7;MRPL57;MRPS22;MRPS18B;MRPS26;MRPL4;MRPL58;MRPS11;MRPL23;MRPS24;MRPL41;MRPS5;MRPL45;MRPS14;MRPL12;TSFM;MRPL9;MRPS36;MRPS2;MRPS35;MRPL37;MRPS34;MRPL11;MRPL10;MRPL55;MRPL3,VSMC/P
