Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Reactome_2022__NCAM1 Interactions R-HSA-419037,-0.7730277961530316,-1.7306194698743858,0.001,0.37165362807722674,0.188,7/37,3.09%,COL4A2;COL4A5;COL6A2;COL4A1;COL4A4;AGRN;CACNB2,aPT
prerank,Reactome_2022__Signaling By PDGF R-HSA-186797,-0.7470285171187806,-1.7015481703077686,0.001,0.32037025407306396,0.305,16/52,2.01%,THBS1;COL4A2;PIK3R1;PDGFA;COL4A5;COL6A2;COL4A1;GRB7;STAT1;PIK3CA;PDGFRB;PLAT;COL4A4;NCK1;SRC;NCK2,aPT
prerank,Reactome_2022__ECM Proteoglycans R-HSA-3000178,-0.7334940885177738,-1.691502012645985,0.001,0.2489757530084452,0.342,11/55,4.18%,SPARC;BGN;ITGB1;PTPRS;VCAN;LAMA5;ITGB3;AGRN;LAMA4;ITGB6;ITGA7,aPT
prerank,Reactome_2022__NCAM Signaling For Neurite Out-Growth R-HSA-375165,-0.7077291295358302,-1.669577068398991,0.001,0.2678802124452738,0.446,14/57,4.76%,COL4A2;COL4A5;PTPRA;COL6A2;COL4A1;COL4A4;SPTBN1;SRC;CREB1;AGRN;FYN;CACNB2;MAPK3;PTK2,aPT
prerank,Reactome_2022__Integrin Cell Surface Interactions R-HSA-216083,-0.7109740758325872,-1.6629053354653744,0.001,0.23530018660733507,0.474,15/66,4.18%,THBS1;COL4A2;ITGA1;VCAM1;COL18A1;ITGB1;CD47;COL4A1;COL4A4;ITGB3;AGRN;ITGB6;JAM3;FBN1;ITGA7,aPT
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,0.8931427001005975,1.62624264912721,0.001,0.001,0.001,62/90,4.40%,RPS4X;RPL7A;RPS2;RPS9;RPL3;EEF1G;RPL29;RPL19;RPL8;RPL18;RPS3;RPS23;RPL15;RPS7;RPL28;RPL11;RPS3A;RPL10A;RPS19;RPS15A;RPS6;RPL5;RPS5;RPS13;RPL27A;RPL36AL;RPL35A;RPS8;RPL36A;RPL26;RPS15;EEF1D;RPSA;RPL6;RPL23A;RPS14;EEF1B2;RPL18A;RPS25;UBA52;FAU;RPL14;RPL13A;RPS12;EEF1A1;RPL37;RPS16;RPL12;RPL7;RPL41;RPS27L;RPLP1;RPS27A;RPL34;RPS21;RPL35;RPL9;RPL32;RPL4;RPL38;RPL26L1;RPL30,aPT
prerank,Reactome_2022__Transcriptional Regulation Of Testis Differentiation R-HSA-9690406,-0.9143742527580457,-1.6242368865520171,0.001,0.34731916433407495,0.671,3/13,0.30%,PTGDS;ZFPM2;WT1,aPT
prerank,Reactome_2022__Collagen Chain Trimerization R-HSA-8948216,-0.7178290332321445,-1.6167314779773259,0.001,0.3304545477848069,0.708,13/44,7.38%,COL4A2;COL18A1;COL4A5;COL6A2;COL4A1;COL4A4;COL4A6;COL7A1;COL26A1;COL14A1;COL27A1;COL4A3;COL5A2,aPT
prerank,Reactome_2022__Formation Of A Pool Of Free 40S Subunits R-HSA-72689,0.8827598572875155,1.609406169421045,0.001,0.001,0.001,65/98,4.40%,RPS4X;RPL7A;RPS2;RPS9;RPL3;RPL29;RPL19;RPL8;RPL18;RPS3;RPS23;RPL15;RPS7;RPL28;RPL11;RPS3A;RPL10A;RPS19;RPS15A;RPS6;RPL5;RPS5;RPS13;EIF3K;RPL27A;RPL36AL;RPL35A;RPS8;RPL36A;RPL26;RPS15;EIF3H;EIF3I;RPSA;RPL6;RPL23A;RPS14;RPL18A;RPS25;UBA52;FAU;RPL14;EIF3F;RPL13A;RPS12;RPL37;RPS16;EIF3D;EIF3B;RPL12;RPL7;RPL41;RPS27L;RPLP1;RPS27A;RPL34;RPS21;RPL35;RPL9;RPL32;EIF3J;RPL4;RPL38;RPL26L1;RPL30,aPT
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,0.8895425367641685,1.6089305831686624,0.001,0.001,0.001,59/86,4.40%,RPS4X;RPL7A;RPS2;RPS9;RPL3;RPL29;RPL19;RPL8;RPL18;RPS3;RPS23;RPL15;RPS7;RPL28;RPL11;RPS3A;RPL10A;RPS19;RPS15A;RPS6;RPL5;RPS5;RPS13;RPL27A;RPL36AL;RPL35A;RPS8;RPL36A;RPL26;RPS15;RPSA;RPL6;RPL23A;RPS14;RPL18A;RPS25;UBA52;FAU;RPL14;RPL13A;RPS12;EEF1A1;RPL37;RPS16;RPL12;RPL7;RPL41;RPS27L;RPLP1;RPS27A;RPL34;RPS21;RPL35;RPL9;RPL32;RPL4;RPL38;RPL26L1;RPL30,aPT
prerank,Reactome_2022__Viral mRNA Translation R-HSA-192823,0.8835303960073374,1.6052279266897866,0.001,0.001,0.001,58/90,4.40%,RPS4X;RPL7A;RPS2;RPS9;RPL3;RPL29;RPL19;RPL8;RPL18;RPS3;RPS23;RPL15;RPS7;RPL28;RPL11;RPS3A;RPL10A;RPS19;RPS15A;RPS6;RPL5;RPS5;RPS13;RPL27A;RPL36AL;RPL35A;RPS8;RPL36A;RPL26;RPS15;RPSA;RPL6;RPL23A;RPS14;RPL18A;RPS25;UBA52;FAU;RPL14;RPL13A;RPS12;RPL37;RPS16;RPL12;RPL7;RPL41;RPS27L;RPLP1;RPS27A;RPL34;RPS21;RPL35;RPL9;RPL32;RPL4;RPL38;RPL26L1;RPL30,aPT
