Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Translation (GO:0006412),167/234,1.9205782180315762e-76,9.005591264350064e-73,0,0,12.784204558602337,2228.847323956799,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL8;APEH;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;CHCHD1;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;MRPS18C;TUFM;EEF1A1;RPL24;RPL27;RPL26;AURKAIP1;RPL29;RPL28;UBA52;DAP3;MRPL18;MRPL19;MRPL16;MRPL17;MRPL14;MRPL12;RPS4Y1;MRPL13;GSPT1;MRPL11;MRPL20;EIF4EBP2;ZC3H15;RPL41;MRPL27;MRPL28;EEF2;MRPL21;MRPL22;MRPL30;RPS25;RPS28;RPS27;COPS5;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23;EIF4G1;MRPS17;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL38;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL33;MRPL41;MRPL4;RPS4X;MRPL42;MRPL3;RPL7A;MRPL2;MRPL40;MRPL1;MTG1;RACK1;RPLP2;MRPL9;EIF5A;MRPS26;MRPS24;MRPS25;MRPS23;DHPS;MRPL49;MRPS2;MRPS21;RPL13A;MRPL47;RPS3A;MRPL48;MRPL45;MRPS7;MRPS6;MRPL43;MRPL44;MRPL52;EEF1G;MRPL51;EEF1D;RPL37A;ETF1;RPL10;MRPS33;RPL12;MRPS34;RPL11;RRBP1;MRPS30;MRPL57;MRPL54;MRPL55;RPS15A;RPL14;RPS3;RPL13;IARS2;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;ABCF1;GADD45GIP1;RWDD1;NDUFA7;RPL35A;RPL23A;TNIP1;RPL22L1;FAU;ABCE1;RPL26L1,C-TAL
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),86/93,5.835613434355985e-58,1.2732894609181019e-54,0,0,61.69242070693976,8130.194641022072,EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;ETF1;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;ZC3H15;RPL19;RWDD1;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;EIF3I;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPL26L1;RPS24;RPS23,C-TAL
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),118/158,8.146445687255931e-58,1.2732894609181019e-54,0,0,14.928405620036653,1962.3740553468144,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;MRPS18C;EEF1A1;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;RPS4Y1;MRPL13;GSPT1;MRPL11;EIF4EBP2;RPL41;GGT6;MRPL27;MRPL28;RPS25;RPS28;COPS5;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;EIF4G1;RPS23;MRPS17;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;MRPL34;MRPL35;MRPL41;RPS4X;MRPL3;MRPL42;RPL7A;RPLP2;MRPL9;DHPS;MRPS21;RPL13A;RPS3A;MRPS7;MRPS6;MRPL43;MRPL52;MRPL51;RPL37A;RPL10;MRPS33;RPL12;RPL11;FURIN;RRBP1;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;TNIP1;FAU,C-TAL
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),127/183,4.900787888344137e-56,5.744948602111414e-53,0,0,11.49695908991468,1464.19946982558,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;MRPS18C;TUFM;EEF1A1;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;RPS4Y1;MRPL13;GSPT1;MRPL11;ST3GAL4;EIF4EBP2;RPL41;MRPL27;MRPL28;EEF2;RPS25;RPS28;COPS5;RPS27;B4GAT1;RPS29;RPL27A;RPS20;RPS21;EIF4G2;RPS24;EIF4G1;RPS23;MRPS17;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;MRPL34;MRPL35;MRPL41;RPS4X;MRPL3;MRPL42;RPL7A;RPLP2;MRPL9;EIF5A;DHPS;MRPS21;RPL13A;RPS3A;MRPS7;MRPS6;MRPL43;EEF1G;MRPL52;MRPL51;EEF1D;RPL37A;RPL10;MRPS33;RPL12;RPL11;RRBP1;MRPL55;RPS15A;POLD2;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;ABCF1;RPL19;RPL35A;RPL23A;TNIP1;FAU,C-TAL
GO_Biological_Process_2023,Gene Expression (GO:0010467),159/296,9.760939349569491e-48,9.15380892202627e-45,0,0,5.912767739619481,640.0316582154148,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;EIF4A3;HNRNPU;CASC3;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;ALKBH5;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;MAGOH;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;DNTTIP2;MRPS18A;RPSA;THOC7;MRPS18C;EEF1A1;HNRNPUL1;XRN2;DNAJB11;RPL24;SRSF3;RPL27;RPL26;RPL29;RPL28;RBM8A;MRPL18;MRPL14;MRPL12;RPS4Y1;MRPL13;GSPT1;MRPL11;TPR;EIF4EBP2;RPL41;CHTOP;MRPL27;MRPL28;RPS25;RPS28;HNRNPK;RPS27;COPS5;RPS29;HNRNPF;RPL27A;RPS20;RPS21;RPS24;RPS23;EIF4G1;MRPS17;MRPS15;MRPS16;NXT1;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;ADAR;MRPL37;MRPL34;MRPL35;SMG5;MRPL41;RBM3;RPS4X;MRPL42;SYNCRIP;MRPL3;RBM4;RPL7A;RPLP2;MRPL9;UPF1;NCBP2;TESC;DHPS;MRPS21;DDX54;RPL13A;RPS3A;MRPS7;MRPS6;MRPL43;MRPL52;MRPL51;RPL37A;NCBP3;HNRNPH3;FYTTD1;RPL10;MRPS33;RPL12;RPL11;FURIN;RRBP1;TSPAN33;MRPL55;HSPD1;EXOSC7;RBM15B;EXOSC4;RPS15A;EXOSC8;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;ABCF1;MBTPS1;RPL35A;RPL23A;SORL1;TSPAN14;TNIP1;NOVA1;HNRNPA2B1;STUB1;FAU,C-TAL
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),71/85,3.2301015162157384e-41,2.5243243349225996e-38,0,0,25.340344990751493,2362.5684274417736,COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;ETFA;ETFB;MTFR1L;COX6A1;COX7C;CHCHD5;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHC;SDHA;SDHB;COX6B1;OXA1L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;MTLN;UQCRH;BLOC1S1;ETFRF1;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;SURF1;NDUFA6;NDUFA5;MDH2;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS,C-TAL
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),52/53,2.710360711525797e-39,1.815554482334923e-36,0,0,258.5520958083832,22960.392290296728,NDUFA13;NDUFA11;NDUFA12;NDUFA10;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ATP5F1B;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;ATP5F1D;ATP5F1E;NDUFAB1;ATP5PO,C-TAL
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),58/63,3.847391830272471e-39,2.255052536518452e-36,0,0,57.76688662267546,5109.67886676632,NDUFA13;NDUFA11;NDUFA12;NDUFA10;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;NIPSNAP2;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRH;ATP5F1B;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;CHCHD10;ATP5F1C;ATP5F1D;ATP5F1E;NDUFAB1;ATP5PO,C-TAL
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),61/70,8.106347194061491e-38,4.2234068881060366e-35,0,0,33.77494245972181,2884.568758790916,COX7B;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COA6;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS,C-TAL
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),55/60,6.391694868042915e-37,2.997065723625322e-34,0,0,54.729697332933775,4561.208493658057,NDUFA13;NDUFA11;NDUFA12;NDUFA10;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;ATP5MC1;ATP5F1B;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;ATP5F1D;ATP5F1E;NDUFAB1;ATP5PO,C-TAL
