Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Translation (GO:0006412),110/234,1.1090432143819745e-42,4.5348777036078923e-39,0,0,7.189529130324958,694.5450097011869,RPL4;RPL5;RPL30;RPL3;RPL31;RPL8;APEH;RPL10A;RPL9;RPS15;EEF1B2;RPS14;RPS16;RPL18A;RPL36AL;RPS18;CHCHD1;RPS13;RPS9;RPS7;RPS8;RPS5;RPS6;MRPS18B;MRPS18A;RPSA;MRPS18C;TUFM;RPL27;RPL26;AURKAIP1;RPL29;MRPL18;MRPL19;MRPL16;MRPL17;MRPL14;MRPL12;MRPL13;MRPL11;MRPL27;MRPL28;EEF2;MRPL24;MRPL22;RPS25;COPS5;RPL27A;RPS23;EIF4G1;MRPS17;MRPS15;MRPS16;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL41;MRPL4;RPS4X;RPL7A;MRPL40;MTG1;RACK1;MRPL9;TSFM;MRPS26;MRPS24;MRPS25;MRPS22;MRPS23;DHPS;MRPS2;RPS3A;MRPS7;MRPS6;MRPL43;MRPS5;EEF1G;MRPS9;MRPL51;EEF1D;ETF1;MRPS33;MRPS34;MRPL58;MRPL57;MRPL54;MRPL55;RPL14;RPS3;RPL13;IARS2;RPL15;RPS2;RPL18;RPL17;RPL19;GADD45GIP1;RWDD1;NDUFA7;RPL23A;DRG2;RPL26L1,CCD-IC-A
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),56/85,1.327842955936502e-32,2.714774923412179e-29,0,0,15.352808988764044,1126.8833937689567,COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;ETFA;ETFB;COX6A1;COX7C;UQCRFS1;NDUFC2;SDHC;SDHA;COX6B1;NDUFS8;NDUFS7;NDUFS5;NDUFS4;NDUFS3;NDUFS2;SDHAF4;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB11;NDUFB5;NDUFB4;NDUFB3;COX7A2;UQCR11;COX5B;COX5A;MTLN;UQCRH;BLOC1S1;ETFRF1;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;SURF1;NDUFA6;NDUFA5;MDH2;NDUFA4;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS,CCD-IC-A
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),49/70,1.3292893637503224e-30,1.8118214027916897e-27,0,0,18.501493428912784,1272.7715409302932,COX7B;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COA6;NDUFC2;SDHC;SDHD;SDHA;COX6B1;NDUFS8;NDUFS7;SDHAF2;NDUFS5;NDUFS4;NDUFS3;NDUFS2;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB5;NDUFB4;NDUFB3;COX7A2;UQCR11;COX5B;COX5A;UQCRH;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS,CCD-IC-A
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),58/98,5.0568176793293925e-30,5.169331872694471e-27,0,0,11.531511470985157,777.8790408291776,MRPS17;MRPS15;MRPS16;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL4;MRPL41;MRPL40;MTG1;MRPL9;CHCHD1;TSFM;MRPS26;MRPS24;MRPS25;MRPS22;MRPS23;MRPS18B;MRPS18A;MRPS2;MRPS7;MRPS6;MRPL43;MRPS5;MRPS18C;TUFM;MRPS9;MRPL51;MRPL18;MRPS33;MRPL19;MRPS34;MRPL16;MRPL17;MRPL14;MRPL58;MTIF3;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;IARS2;GADD45GIP1;NDUFA7;MRPL27;MRPL28;MRPL24;MRPL22,CCD-IC-A
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),81/183,1.9121321886369006e-29,1.563741703867257e-26,0,0,6.359077540106952,420.5051227654291,RPL4;MRPS17;RPL5;RPL30;MRPS15;RPL3;ALAS1;MRPS16;RPL31;MRPS14;MRPS11;MRPS12;MRPL36;MRPL37;RPL10A;RPL8;MRPL34;RPL9;MRPL35;EEF1B2;RPS15;MRPL41;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL36AL;RPS18;MRPL9;RPS13;TSFM;RPS9;RPS7;RPS8;RPS5;RPS6;DHPS;MRPS18B;MRPS18A;RPSA;RPS3A;MRPS7;MRPS6;MRPL43;MRPS5;MRPS18C;TUFM;EEF1G;MRPL51;EEF1D;RPL27;RPL26;RPL29;MRPL18;MRPS33;MRPL14;MRPL12;MRPL13;MRPL11;MRPL55;POLD2;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;MRPL27;MRPL28;RPL23A;EEF2;MRPL24;RPS25;COPS5;B4GAT1;RPL27A;EIF4G1;RPS23,CCD-IC-A
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),47/68,5.168280327438462e-29,3.3957751471774987e-26,0,0,17.730442938142133,1154.826792560581,NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB10;NDUFB5;COX4I1;NDUFB4;NDUFA10;NDUFB3;COX7A2;UQCR11;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA1;NDUFC2;SDHC;SDHD;SDHA;COX6C;COX6B1;NDUFS8;NDUFS7;SDHAF2;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFS2;CYCS;UQCRC2,CCD-IC-A
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),74/158,5.813261440509292e-29,3.3957751471774987e-26,0,0,7.039236628044965,457.6547440804112,RPL4;MRPS17;RPL5;RPL30;MRPS15;RPL3;MRPS16;RPL31;MRPS14;MRPS11;MRPS12;MRPL36;MRPL37;RPL10A;RPL8;MRPL34;RPL9;MRPL35;RPS15;MRPL41;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL36AL;RPS18;MRPL9;RPS13;RPS9;RPS7;RPS8;RPS5;RPS6;DHPS;MRPS18B;MRPS18A;RPSA;RPS3A;MRPS7;MRPS6;MRPL43;MRPS5;MRPS18C;MRPL51;RPL27;RPL26;RPL29;MRPL18;MRPS33;MRPL14;FURIN;MRPL12;MRPL13;MRPL11;MRPL55;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;GGT6;MRPL27;MRPL28;RPL23A;MRPL24;RPS25;COPS5;RPL27A;EIF4G1;RPS23,CCD-IC-A
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),56/103,1.974990650783152e-26,1.0094670963815384e-23,0,0,9.463370786516856,560.105202763662,MRPS17;MRPS15;MRPS16;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL4;MRPL41;MRPL40;MTG1;MRPL9;CHCHD1;MRPS26;MRPS24;MRPS25;MRPS22;MRPS23;MRPS18B;MRPS18A;MRPS2;MRPS7;MRPS6;MRPL43;MRPS5;MRPS18C;MRPS9;MRPL51;TFAM;MRPL18;MRPS33;MRPL19;MRPS34;MRPL16;MRPL17;MRPL14;MRPL58;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;IARS2;GADD45GIP1;NDUFA7;MRPL27;MRPL28;MRPL24;MRPL22,CCD-IC-A
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),43/63,2.6479137568472395e-26,1.2030354835275957e-23,0,0,17.003060768543342,1001.3687451305744,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;UQCRH;ATP5F1B;NDUFV3;NDUFV2;ATP5MG;NDUFV1;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;NDUFA1;NDUFC2;CHCHD10;SDHC;SDHD;SDHA;ATP5F1C;ATP5F1D;NIPSNAP2;NDUFS8;NDUFS7;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO;NDUFS2;UQCRC2,CCD-IC-A
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),39/53,5.971811563303774e-26,2.441873748234913e-23,0,0,21.998693768319104,1277.6876998769287,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;ATP5F1B;NDUFV3;NDUFV2;ATP5MG;NDUFV1;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;NDUFA1;NDUFC2;SDHC;SDHD;SDHA;ATP5F1C;ATP5F1D;NDUFS8;NDUFS7;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO;NDUFS2,CCD-IC-A
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),41/60,3.5840826441351985e-25,1.3323012665335297e-22,0,0,17.05122180451128,959.781300427169,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;ATP5MC3;ATP5MC1;ATP5F1B;NDUFV3;NDUFV2;ATP5MG;NDUFV1;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;NDUFA1;NDUFC2;SDHC;SDHD;SDHA;ATP5F1C;ATP5F1D;NDUFS8;NDUFS7;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO;NDUFS2,CCD-IC-A
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),49/90,2.4715232163694568e-23,8.421715359778923e-21,0,0,9.465665705044149,492.7316549068782,NDUFA13;NDUFA11;NDUFA10;ECSIT;TMEM223;AIFM1;UQCRFS1;COA8;COA5;NDUFC2;NDUFS8;NDUFS7;SCO1;SDHAF2;SCO2;NDUFS5;NDUFS4;SDHAF1;NDUFS3;TMEM126A;NDUFS2;SDHAF4;TMEM126B;SMIM20;COX19;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB11;NDUFB5;NDUFB4;NDUFB3;OMA1;SAMM50;COX14;NDUFA9;COA3;NDUFA8;SURF1;NDUFA6;NDUFA5;UQCC3;UQCC2;NDUFA1;NDUFAF4;NDUFAB1;NDUFAF3;COX20,CCD-IC-A
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),38/59,5.103331075986163e-22,1.6051939053621097e-19,0,0,14.27773177929219,699.9940499315258,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;UQCRH;BLOC1S1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;SURF1;NDUFA6;NDUFA5;MDH2;NDUFA1;NDUFC2;CHCHD10;SDHC;ATP5F1D;NIPSNAP2;NDUFS8;NDUFS7;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFS2;UQCRC2,CCD-IC-A
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),48/93,1.4816984258082206e-21,4.3276177593784383e-19,0,0,8.442573518435587,404.91509536700926,RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL31;MRPS12;RPL10A;RPL8;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPL36AL;RPS18;RACK1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;RPS13;RPL19;RWDD1;RPS9;RPS7;RPS8;RPS5;RPS6;RPS3A;RPSA;RPL23A;RPS25;EIF3M;EIF3I;RPL27A;DRG2;ETF1;RPL27;RPL26;RPL29;RPL26L1;RPS23,CCD-IC-A
GO_Biological_Process_2023,Gene Expression (GO:0010467),94/296,3.387917628811538e-21,9.235463456140252e-19,0,0,3.7272406252970978,175.6800260894962,RPL4;MRPS17;RPL5;RPL30;MRPS15;RPL3;MRPS16;NXT1;RPL31;MRPS14;MRPS11;EIF4A3;MRPS12;MRPL36;MRPL37;RPL8;MRPL34;RPL10A;RPL9;MRPL35;RPS15;MRPL41;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL36AL;RPS18;MRPL9;RPS13;RBM5;RPS9;RPS7;RPS8;RPS5;RPS6;DHPS;MRPS18B;DNTTIP2;MRPS18A;RPSA;RPS3A;MRPS7;MRPS6;MRPL43;MRPS5;THOC7;MRPS18C;MRPL51;HNRNPUL1;DNAJB11;RPL27;NCBP3;RPL26;RPL29;RBM8A;MRPL18;MRPS33;MRPL14;FURIN;MRPL12;MRPL13;TSPAN33;MRPL11;MRPL55;EXOSC7;EXOSC8;TPR;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;EXOSC1;RPL19;MBTPS1;CHTOP;ALYREF;MRPL27;MRPL28;RPL23A;MRPL24;RPS25;SNRNP40;TSPAN14;COPS5;HNRNPF;RPL27A;STUB1;RPS23;EIF4G1,CCD-IC-A
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",25/34,4.4356673766688416e-17,1.1335902439499308e-14,0,0,21.80604806934594,821.0907888603032,NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFC2;NDUFS8;NDUFS7;NDUFS5;NDUFAB1;NDUFS4;NDUFS3;NDUFS2,CCD-IC-A
GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),29/53,1.8916567317149148e-14,4.297213542212381e-12,0,0,9.49443087625814,300.0120363687221,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;ECSIT;NDUFA9;NDUFA8;NDUFA6;NDUFA5;NDUFA1;NDUFC2;NDUFS8;NDUFS7;NDUFS5;NDUFAF4;NDUFS4;NDUFAB1;NDUFS3;TMEM126A;NDUFS2;NDUFAF3;TMEM126B,CCD-IC-A
