Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),48/93,6.157695106137974e-71,7.580122675655846e-68,0,0,126.08383233532936,20383.448547164626,RPL4;RPL5;RPL30;RPL32;RPL10;RPL34;RPLP1;MRPS12;RPL11;RPL8;RPL9;RPL6;RPS15;RPS4X;RPL7A;RPS14;RPS15A;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPL36;RPL14;RPS3;RPL13;RPL15;RPS27A;RPL17;RPS13;RPL19;RPS7;RPS8;RPS5;RPS6;RPL35A;RPS3A;RPSA;RPL23A;RPS25;RPL24;RPS20;RPL26;FAU;RPL29;RPL28;RPS24;RPS23,CNT
GO_Biological_Process_2023,Translation (GO:0006412),60/234,1.0070402552684182e-66,6.198332771177115e-64,0,0,43.62847608453838,6629.940312282392,RPL4;RPL5;RPL30;RPL32;RPL34;RPLP1;MRPS12;RPL8;RPL9;RPL6;RPS15;EEF1B2;RPS4X;RPS14;RPL7A;MRPL40;RPS19;RPL18A;RPS18;RPL36AL;RPL36;RACK1;RPS13;MRPS26;RPS7;RPS8;RPS5;RPS6;RPSA;RPS3A;EEF1A1;EEF1G;EEF1D;RPL24;RPL26;RPL29;RPL28;RPL10;RPL11;MRPS34;MRPL57;MRPL54;MRPL20;RPS15A;RPS3;RPL14;RPL13;RPL15;RPS27A;RPL17;RPL19;GADD45GIP1;RPL35A;RPL23A;EEF2;RPS25;RPS20;FAU;RPS24;RPS23,CNT
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),52/183,3.34995141885739e-60,1.3745967322044824e-57,0,0,47.86250175619351,6554.585810856031,RPL4;RPL5;RPL30;RPL32;RPL34;RPLP1;MRPS12;RPL8;RPL9;RPL6;EEF1B2;RPS15;RPS4X;RPS14;RPL7A;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPS13;RPS7;RPS8;RPS5;RPS6;RPSA;RPS3A;EEF1A1;EEF1G;EEF1D;RPL24;RPL26;RPL29;RPL28;RPL10;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS27A;RPL17;RPL19;RPL35A;RPL23A;EEF2;RPS25;RPS20;FAU;RPS24;RPS23,CNT
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),48/158,4.362053768943585e-57,1.3424220473923884e-54,0,0,51.40990745781165,6671.690270008471,RPL4;RPL5;RPL30;RPL32;RPL10;RPL34;RPLP1;MRPS12;RPL11;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS15A;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL14;RPS3;RPL13;RPL15;RPS27A;RPL17;RPS13;RPL19;RPS7;RPS8;RPS5;RPS6;RPL35A;RPSA;RPS3A;RPL23A;EEF1A1;RPS25;RPL24;RPS20;RPL26;FAU;RPL29;RPL28;RPS24;RPS23,CNT
GO_Biological_Process_2023,Gene Expression (GO:0010467),50/296,1.602998940484744e-45,3.94658339147344e-43,0,0,24.068736141906875,2482.556623085897,RPL4;RPL5;RPL30;RPL32;RPL34;RPLP1;MRPS12;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS19;RPL18A;RPS18;RPL36AL;RPL36;RPS13;RPS7;RPS8;RPS5;RPS6;RPSA;RPS3A;EEF1A1;RPL24;RPL26;RPL29;RPL28;RPL10;RBM8A;RPL11;RPS15A;RPS3;RPL14;RPL13;RPL15;RPS27A;RPL17;RPL19;RPL35A;RPL23A;SORL1;RPS25;RPS20;FAU;RPS24;RPS23,CNT
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),22/118,2.8084440448738707e-21,5.761991032066224e-19,0,0,23.378562176165804,1106.3122851074115,RPL5;NPM1;RPS7;RPS8;RPS5;RPS6;MRPS12;RPL11;RPL35A;RPS3A;RPS15;RPS4X;RPS14;RPS25;RPS15A;RPS19;RPL14;RPL26;RBIS;RPS13;RPS24;RPS23,CNT
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),18/84,9.110196362435513e-19,1.602093103165445e-16,0,0,27.29903091832026,1133.9941688999054,NPM1;RPS7;RPS8;RPS5;MRPS12;RPS6;RPS27L;RPS3A;RPSA;RPS15;RPS4X;RPS14;RPS25;RPS15A;RPS19;RPS13;RPS24;RPS23,CNT
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),22/155,1.356658705244844e-18,2.0875585826955035e-16,0,0,16.843040243094784,692.9480552244047,RPL5;NPM1;RPS7;RPS8;RPS5;RPS6;MRPS12;RPL11;RPL35A;RPS3A;RPS15;RPS4X;RPS14;RPS25;RPS15A;RPS19;RPL14;RPL26;RBIS;RPS13;RPS24;RPS23,CNT
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),13/50,4.442469204420681e-15,6.076310656268731e-13,0,0,34.34894300240835,1135.1489624798428,RPL5;NPM1;RPL10;RPS5;RPL11;RPS27L;RPSA;RPL23A;RPL6;RPS15;RPS14;MRPL20;RPS19,CNT
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),13/53,1.0239845695576358e-14,1.2605250051254496e-12,0,0,31.76794554455445,1023.3246232251932,NDUFA8;NDUFA13;NDUFB8;NDUFB7;ATP5PD;NDUFA12;NDUFB11;NDUFB4;NDUFB3;NDUFA1;NDUFS8;NDUFS7;NDUFAB1,CNT
