Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),15/85,1.0019876389716788e-15,1.3406594609441061e-12,0,0,25.96669588080631,896.8063415506772,COX7B;SURF1;NDUFB11;NDUFB4;NDUFB2;UQCR10;COX5B;COX6C;COX7C;COX5A;COX6B1;UQCRQ;NDUFS5;NDUFS2;NDUFV2,DTL
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),13/68,2.892610319968509e-14,1.922329956747417e-11,0,0,28.31636363636364,882.7352256295684,COX7B;NDUFB4;NDUFB2;UQCR10;COX5B;COX6C;COX7C;COX5A;COX6B1;UQCRQ;NDUFS5;NDUFS2;NDUFV2,DTL
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),13/70,4.31015685369376e-14,1.922329956747417e-11,0,0,27.320042530568845,840.7802374776036,COX7B;NDUFB4;NDUFB2;UQCR10;COX5B;COX6C;COX7C;COX5A;COX6B1;UQCRQ;NDUFS5;NDUFS2;NDUFV2,DTL
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),13/93,1.974703712288388e-12,6.605383917604657e-10,0,0,19.442878787878787,523.9973024881581,EIF4A1;RPS9;RPLP1;RPL8;RPS4X;RPS14;RPS25;RPL36;RPL27;RPS2;RPL29;RPS10;RPL28,DTL
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),11/60,4.772864667630784e-12,1.2772185850579976e-09,0,0,26.579860686789686,692.88578677649,ATP5PF;NDUFB11;NDUFS5;NDUFB4;NDUFB2;NDUFS2;ATP5MC3;NDUFV2;ATP5MG;ATP5F1D;ATP5F1E,DTL
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),10/53,3.386901246225652e-11,7.552789779083204e-09,0,0,27.37956810631229,660.0808818807957,ATP5PF;NDUFB11;NDUFS5;NDUFB4;NDUFB2;NDUFS2;NDUFV2;ATP5MG;ATP5F1D;ATP5F1E,DTL
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),10/63,2.0562630166755052e-10,3.9303998804454664e-08,0,0,22.202380952380956,495.2232337929048,ATP5PF;NDUFB11;NDUFS5;NDUFB4;NDUFB2;NDUFS2;NDUFV2;ATP5MG;ATP5F1D;ATP5F1E,DTL
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),13/158,1.7059305605146264e-09,2.853168862460713e-07,0,0,10.6917868338558,215.8581425972166,RPS9;RPLP1;RPL8;MRPS6;RPS4X;RPS14;RPS25;RPL36;RPL27;RPS2;RPL29;RPS10;RPL28,DTL
GO_Biological_Process_2023,Translation (GO:0006412),15/234,2.9586925692395203e-09,4.398589619602754e-07,0,0,8.237246827464492,161.76732310453946,RPS9;MRPS24;RPLP1;RPL8;MRPS6;MRPL21;RPS4X;RPS14;RPS25;RPL36;RPL27;RPS2;RPL29;RPS10;RPL28,DTL
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",6/16,3.3962846928692875e-09,4.544228919059107e-07,0,0,69.11162790697675,1347.717087420747,COX7B;COX5B;COX6C;COX5A;COX7C;COX6B1,DTL
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),8/43,3.736963888436657e-09,4.545506984298407e-07,0,0,26.60436974789916,516.2575914276173,COX7B;UQCRQ;UQCR10;COX5B;COX6C;COX5A;COX7C;COX6B1,DTL
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),13/183,1.0197976535696037e-08,1.137074383730108e-06,0,0,9.107878787878787,167.5947744668263,RPS9;RPLP1;RPL8;MRPS6;RPS4X;RPS14;RPS25;RPL36;RPL27;RPS2;RPL29;RPS10;RPL28,DTL
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),8/59,5.0629113373348594e-08,5.210904130272339e-06,0,0,18.24313725490196,306.46170243561454,SURF1;NDUFB11;NDUFS5;NDUFB4;NDUFB2;NDUFS2;NDUFV2;ATP5F1D,DTL
GO_Biological_Process_2023,Diterpenoid Metabolic Process (GO:0016101),6/28,1.462333086307639e-07,1.3975726210568718e-05,0,0,31.3953488372093,494.10196178132327,RDH10;AKR1C1;RARRES2;NAPEPLD;AKR1B1;LRP2,DTL
GO_Biological_Process_2023,Retinoid Metabolic Process (GO:0001523),6/40,1.363695133341276e-06,0.00012164160589404182,0,0,20.302325581395348,274.1892521195166,RDH10;AKR1C1;RARRES2;NAPEPLD;AKR1B1;LRP2,DTL
GO_Biological_Process_2023,ATP Biosynthetic Process (GO:0006754),5/25,2.4272328892673943e-06,0.00020297735036498585,0,0,28.615606936416185,369.9642765097917,ATP5PF;ATP5MC3;ATP5MG;ATP5F1D;ATP5F1E,DTL
GO_Biological_Process_2023,Gene Expression (GO:0010467),13/296,2.62464222156706e-06,0.00020657478190921915,0,0,5.4397044651461615,69.90328107445646,RPS9;RPLP1;RPL8;MRPS6;RPS4X;RPS14;RPS25;RPL36;RPL27;RPS2;RPL29;RPS10;RPL28,DTL
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",5/34,1.1913928431397134e-05,0.0008856020134005203,0,0,19.725931831771977,223.64871698591045,NDUFB4;NDUFS5;NDUFB2;NDUFS2;NDUFV2,DTL
GO_Biological_Process_2023,Substantia Nigra Development (GO:0021762),5/42,3.4385350531693804e-05,0.0024214525795477,0,0,15.45461646617716,158.84069257240247,YWHAE;ATP5PF;S100A1;CALM1;COX6B1,DTL
GO_Biological_Process_2023,Pyruvate Metabolic Process (GO:0006090),5/50,8.085978967167354e-05,0.0054095199290349,0,0,12.70199100834939,119.68824332650917,LDHB;LDHA;PKM;PDHA1;GAPDH,DTL
GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),5/53,0.00010718481328127283,0.0063129000035963,0,0,11.90631021194605,108.83505760920028,NDUFB11;NDUFS5;NDUFB4;NDUFB2;NDUFS2,DTL
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),5/53,0.00010718481328127283,0.0063129000035963,0,0,11.90631021194605,108.83505760920028,NDUFB11;NDUFS5;NDUFB4;NDUFB2;NDUFS2,DTL
GO_Biological_Process_2023,Negative Regulation Of Amyloid Fibril Formation (GO:1905907),3/11,0.00010851771306630506,0.0063129000035963,0,0,42.45857142857143,387.5871938914066,CLU;CRYAB;PFDN5,DTL
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),6/90,0.000153186685339234,0.0085401577076622,0,0,8.196843853820598,71.99987323621059,SURF1;NDUFB11;NDUFS5;NDUFB4;NDUFB2;NDUFS2,DTL
