Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),44/93,1.967712100083077e-71,2.0050986299846554e-68,0,0,177.85877551020408,28956.59498981474,RPL5;RPL30;RPL3;RPL32;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPS15;RPS4X;RPL7A;RPS14;RPS15A;RPL18A;RPS18;RACK1;RPL36;RPL14;RPS3;RPL37;RPL15;RPS27A;RPS10;RPS13;RPL19;RPS9;RPL41;RPS7;RPS8;RPS5;RPS6;RPL35A;RPS3A;RPS25;RPS27;RPL27;RPL26;FAU;RPL29;RPL28;RPS23,EC-DVR
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),45/158,7.042130402264595e-61,3.587965439953811e-58,0,0,79.4167337087691,10999.67664216666,RPL5;RPL30;RPL3;RPL32;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL10A;RPS15;RPS4X;RPS14;RPL7A;RPS15A;RPL18A;RPS18;RPL36;RPS3;RPL14;RPL37;RPL15;RPS27A;RPS10;RPS13;RPL19;RPS9;RPL41;RPS7;RPS8;RPS5;RPS6;RPL35A;RPS3A;MRPS6;EEF1A1;RPS25;RPS27;RPL27;RPL26;FAU;RPL29;RPL28;RPS23,EC-DVR
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),45/183,1.3146007378217982e-57,4.4652605061347066e-55,0,0,64.94729907773386,8506.395683701934,RPL5;RPL30;RPL3;RPL32;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL10A;RPS15;RPS4X;RPS14;RPL7A;RPS15A;RPL18A;RPS18;RPL36;RPS3;RPL14;RPL37;RPL15;RPS27A;RPS10;RPS13;RPL19;RPS9;RPL41;RPS7;RPS8;RPS5;RPS6;RPL35A;RPS3A;MRPS6;EEF1A1;RPS25;RPS27;RPL27;RPL26;FAU;RPL29;RPL28;RPS23,EC-DVR
GO_Biological_Process_2023,Translation (GO:0006412),46/234,5.382736535782531e-54,1.3712521324905994e-51,0,0,49.10594876248372,6023.158801817697,RPL5;RPL30;RPL3;RPL32;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL10A;RPS15;RPS4X;RPS14;RPL7A;RPS15A;RPL18A;RPS18;RPL36;RACK1;RPS3;RPL14;RPL37;RPL15;RPS27A;RPS10;RPS13;RPL19;RPS9;RPL41;RPS7;RPS8;RPS5;RPS6;RPL35A;RPS3A;MRPS6;EEF1A1;RPS25;RPS27;RPL27;RPL26;FAU;RPL29;RPL28;RPS23,EC-DVR
GO_Biological_Process_2023,Gene Expression (GO:0010467),45/296,2.0539000106991998e-47,4.1858482218049696e-45,0,0,35.50344078232524,3816.682332546288,RPL5;RPL30;RPL3;RPL32;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL10A;RPS15;RPS4X;RPS14;RPL7A;RPS15A;RPL18A;RPS18;RPL36;RPS3;RPL14;RPL37;RPL15;RPS27A;RPS10;RPS13;RPL19;RPS9;RPL41;RPS7;RPS8;RPS5;RPS6;RPL35A;RPS3A;MRPS6;EEF1A1;RPS25;RPS27;RPL27;RPL26;FAU;RPL29;RPL28;RPS23,EC-DVR
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),19/118,1.2945464251237871e-20,2.1985713453352322e-18,0,0,30.3339797979798,1389.1003620397887,RPL5;RPS9;RPS7;RPS8;RPS5;RPS6;RPL11;RPL35A;RPS3A;RPS15;RPS4X;RPS14;RPS25;RPS27;RPS15A;RPL14;RPL26;RPS13;RPS23,EC-DVR
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),20/155,1.162845129047186e-19,1.692770266427261e-17,0,0,23.56152927120669,1027.24137444872,RPL5;RPS9;RPS7;RPS8;RPS5;RPS6;RPL11;RPL35A;RPS3A;RPS15;RPS4X;RPS14;RPS25;RPS27;RPS15A;RPL14;RPL27;RPL26;RPS13;RPS23,EC-DVR
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),14/84,1.089575616717349e-15,1.3878469417937234e-13,0,0,30.44,1048.7489582797823,RPS9;RPS7;RPS8;RPS5;RPS6;RPS3A;RPS15;RPS4X;RPS14;RPS25;RPS15A;RPS27;RPS13;RPS23,EC-DVR
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),13/85,3.81939097351441e-14,4.324399335567982e-12,0,0,27.26802374893978,842.4755973578935,COX7B;NDUFA13;NDUFB8;NDUFA4;COX4I1;NDUFB2;COX7A2;UQCR10;COX6A1;COX6C;COX7C;UQCRH;UQCRQ,EC-DVR
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),12/68,6.282916618904328e-14,6.4022920346635086e-12,0,0,32.142857142857146,977.0900464121409,COX7B;NDUFB8;NDUFA4;UQCRQ;COX4I1;NDUFB2;COX7A2;UQCR10;COX6A1;COX6C;COX7C;UQCRH,EC-DVR
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),12/70,9.067683178238527e-14,8.399971962386417e-12,0,0,31.031347962382444,931.9171352911068,COX7B;NDUFB8;NDUFA4;UQCRQ;COX4I1;NDUFB2;COX7A2;UQCR10;COX6A1;COX6C;COX7C;UQCRH,EC-DVR
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),10/43,4.2700338897873613e-13,3.6259704447444337e-11,0,0,44.82813206693804,1276.79416022872,COX7B;NDUFA4;UQCRQ;COX4I1;COX7A2;UQCR10;COX6A1;COX6C;COX7C;UQCRH,EC-DVR
GO_Biological_Process_2023,rRNA Processing (GO:0006364),12/101,8.405663314797585e-12,6.588746859829801e-10,0,0,20.191011235955056,514.9134992505514,RPS15;RPL5;RPS14;RPS25;RPS27;RPS7;RPS6;RPL11;RPL14;RPL35A;RPL27;RPL26,EC-DVR
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",7/16,9.381334700849816e-12,6.828271471547116e-10,0,0,112.67558799675588,2861.092228395419,COX7B;NDUFA4;COX4I1;COX7A2;COX6A1;COX6C;COX7C,EC-DVR
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),11/91,5.298975158270843e-11,3.5997704575186594e-09,0,0,20.445112781954887,483.7502308252759,RPS15;RPL5;RPS25;RPS27;RPS7;RPS6;RPL11;RPL14;RPL35A;RPL27;RPL26,EC-DVR
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),11/100,1.5008839860843003e-10,9.558754886374391e-09,0,0,18.36926586128242,415.5090587843504,RPS15;RPL5;RPS25;RPS27;RPS7;RPS6;RPL11;RPL14;RPL35A;RPL27;RPL26,EC-DVR
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),7/50,6.679311791223386e-08,4.003658067798017e-06,0,0,23.54286199287048,388.967297515135,RPS15;RPL5;RPS14;RPS27;RPL10;RPS5;RPL11,EC-DVR
GO_Biological_Process_2023,Sodium Ion Export Across Plasma Membrane (GO:0036376),4/12,1.2197785245002892e-06,6.905301758143305e-05,0,0,70.88571428571429,965.2395185336492,FXYD2;ATP1B3;ATP1A1;ATP1B1,EC-DVR
GO_Biological_Process_2023,Intracellular Potassium Ion Homeostasis (GO:0030007),4/13,1.752057033671318e-06,9.39655851216354e-05,0,0,63.006349206349206,835.1315177408778,FXYD2;ATP1B3;ATP1A1;ATP1B1,EC-DVR
GO_Biological_Process_2023,Ribosomal Large Subunit Biogenesis (GO:0042273),6/54,2.43828044199731e-06,0.00012423038851976293,0,0,17.942028985507246,231.8866850715758,RPL5;RPL10;RPL11;RPL14;RPL35A;RPL26,EC-DVR
GO_Biological_Process_2023,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255),3/5,3.61680055013445e-06,0.00017550094098033354,0,0,211.2127659574468,2646.479218594477,RPS7;UBB;RPL26,EC-DVR
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),4/17,5.702794894233803e-06,0.00026414309078292024,0,0,43.61098901098901,526.5832492630111,RPS15;RPS14;RPS27;RPS5,EC-DVR
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),6/63,6.082499774123087e-06,0.00026948118564484457,0,0,15.102212051868802,181.37899842395208,NDUFA13;NDUFB8;NDUFB2;ATP5MG;UQCRH;ATP5F1E,EC-DVR
GO_Biological_Process_2023,Intracellular Sodium Ion Homeostasis (GO:0006883),4/18,7.291220729189722e-06,0.00030957308012684694,0,0,40.49387755102041,478.9955812558664,FXYD2;ATP1B3;ATP1A1;ATP1B1,EC-DVR
GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),8/150,1.321108694862066e-05,0.000538483904025778,0,0,8.166528583264292,91.74649101956616,RPS15;RPL5;RPS14;RPS27;RPL10;EIF3K;RPS5;RPL11,EC-DVR
GO_Biological_Process_2023,Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798),4/21,1.4023274030740973e-05,0.0005496044706663481,0,0,33.34285714285714,372.5994991885125,RPS15;RPS7;UBB;RPL37,EC-DVR
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667),3/8,1.9935124446549333e-05,0.000746671712644067,0,0,84.47234042553191,914.2464494376331,RPL5;RPS7;RPL11,EC-DVR
GO_Biological_Process_2023,Potassium Ion Homeostasis (GO:0055075),4/23,2.0516985234576917e-05,0.000746671712644067,0,0,29.830075187969925,321.99351183438785,FXYD2;ATP1B3;ATP1A1;ATP1B1,EC-DVR
GO_Biological_Process_2023,Sodium Ion Homeostasis (GO:0055078),4/25,2.8983909133492e-05,0.0010006561981696,0,0,26.98639455782313,281.9746228322077,FXYD2;ATP1B3;ATP1A1;ATP1B1,EC-DVR
GO_Biological_Process_2023,Pyruvate Metabolic Process (GO:0006090),5/50,2.9459946952982517e-05,0.0010006561981696,0,0,15.836131095123902,165.21010426094875,LDHB;LDHA;PKM;ENO1;GAPDH,EC-DVR
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),5/53,3.92157857050376e-05,0.0012890608268849,0,0,14.844124700239808,150.61488993094767,NDUFA13;NDUFB8;NDUFB2;ATP5MG;ATP5F1E,EC-DVR
GO_Biological_Process_2023,Glycolytic Process (GO:0006096),4/29,5.32153141839485e-05,0.0016945751610451,0,0,22.664,223.04014865706137,LDHA;PKM;ENO1;GAPDH,EC-DVR
GO_Biological_Process_2023,Intracellular Monoatomic Cation Homeostasis (GO:0030003),8/190,7.163662941904724e-05,0.0021482834852995,0,0,6.3587588881706525,60.687384583362,FTH1;FXYD2;ATP1B3;ATP1A1;ATP1B1;B2M;TPT1;FTL,EC-DVR
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),5/60,7.167972374895533e-05,0.0021482834852995,0,0,12.95029431000654,123.58857791959944,NDUFA13;NDUFB8;NDUFB2;ATP5MG;ATP5F1E,EC-DVR
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",3/12,7.667733910844125e-05,0.0022324059586143,0,0,46.91962174940898,444.6058474431029,UQCRQ;UQCR10;UQCRH,EC-DVR
GO_Biological_Process_2023,Regulation Of Immune Effector Process (GO:0002697),3/13,9.915512413058258e-05,0.0027307857159206,0,0,42.225531914893615,389.2697902578807,HLA-DRA;CD59;HLA-DRB1,EC-DVR
GO_Biological_Process_2023,Positive Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901018),3/13,9.915512413058258e-05,0.0027307857159206,0,0,42.225531914893615,389.2697902578807,FXYD2;ATP1B3;ATP1B1,EC-DVR
GO_Biological_Process_2023,Protein Stabilization (GO:0050821),8/208,0.00013435308165152732,0.003602783952708,0,0,5.781176470588235,51.53941535272981,RPL5;RPS7;RPL11;ATP1B3;ATP1B1;PFN1;CRYAB;GAPDH,EC-DVR
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),4/39,0.00017428074091613025,0.0043315140242326,0,0,16.180408163265305,140.03889403482432,RPL5;SDCBP;RPS7;RPL11,EC-DVR
GO_Biological_Process_2023,Positive Regulation Of ATP-dependent Activity (GO:0032781),4/39,0.00017428074091613025,0.0043315140242326,0,0,16.180408163265305,140.03889403482432,FXYD2;ATP1B3;ATP1B1;PFN1,EC-DVR
