Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),27/93,7.059542754347823e-51,3.190913324965216e-48,0,0,325.34181818181816,37569.64661939579,RPL30;RPL3;RPL32;RPL34;RPL8;RPS4X;RPS15;RPL7A;RPS15A;RPL36AL;RPS18;RACK1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPS13;RPL19;RPS9;RPS6;RPL35A;RPL29;RPL28;RPS21;RPS23,EC-GC
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),26/158,1.0498391475782292e-41,2.3726364735267977e-39,0,0,150.12121212121212,14165.040032735717,RPL30;RPL3;RPL32;RPL34;RPL8;RPS4X;RPS15;RPL7A;RPS15A;RPL36AL;RPS18;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPS13;RPL19;RPS9;RPS6;RPL35A;RPL29;RPL28;RPS21;RPS23,EC-GC
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),26/183,6.339559588708937e-40,9.5516031136548e-38,0,0,126.05732484076434,11377.50484172585,RPL30;RPL3;RPL32;RPL34;RPL8;RPS4X;RPS15;RPL7A;RPS15A;RPL36AL;RPS18;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPS13;RPL19;RPS9;RPS6;RPL35A;RPL29;RPL28;RPS21;RPS23,EC-GC
GO_Biological_Process_2023,Translation (GO:0006412),27/234,5.4881699182443505e-39,6.201632007616117e-37,0,0,102.99652173913044,9073.810620225126,RPL30;RPL3;RPL32;RPL34;RPL8;RPS4X;RPS15;RPL7A;RPS15A;RPL36AL;RPS18;RACK1;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPS13;RPL19;RPS9;RPS6;RPL35A;RPL29;RPL28;RPS21;RPS23,EC-GC
GO_Biological_Process_2023,Gene Expression (GO:0010467),26/296,3.0823203668658348e-34,2.786417611646715e-32,0,0,72.88148148148149,5623.696214356634,RPL30;RPL3;RPL32;RPL34;RPL8;RPS4X;RPS15;RPL7A;RPS15A;RPL36AL;RPS18;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPS13;RPL19;RPS9;RPS6;RPL35A;RPL29;RPL28;RPS21;RPS23,EC-GC
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),9/118,1.8897629466150618e-11,1.4236214197833467e-09,0,0,38.09494346063581,940.6397582888624,RPS4X;RPS15;RPS9;RPS15A;RPS19BP1;RPS6;RPL35A;RPS13;RPS23,EC-GC
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),8/84,4.457102381098927e-11,2.8780146803667353e-09,0,0,47.54066985645933,1133.0813378261091,RPS4X;RPS15;RPS9;RPS15A;RPS19BP1;RPS6;RPS13;RPS23,EC-GC
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),9/155,2.2093936508771648e-10,1.2483074127455985e-08,0,0,28.3877030901561,631.1475732063573,RPS4X;RPS15;RPS9;RPS15A;RPS19BP1;RPS6;RPL35A;RPS13;RPS23,EC-GC
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229),2/15,0.0006812468428374356,0.0342137303291689,0,0,61.33846153846154,447.2546579916272,RPS3;TPT1,EC-GC
GO_Biological_Process_2023,Negative Regulation Of Fibroblast Proliferation (GO:0048147),2/17,0.0008794460728881121,0.0397509624945426,0,0,53.15466666666666,374.0078389317888,GSTP1;FTH1,EC-GC
GO_Biological_Process_2023,Intracellular Monoatomic Cation Homeostasis (GO:0030003),4/190,0.0014964566064289,0.0614907623732615,0,0,8.85394265232975,57.591844360103,MT2A;FTH1;B2M;TPT1,EC-GC
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),3/91,0.0017139230050036,0.0645577665218054,0,0,13.817254174397032,88.00168258417777,RPS15;RPS6;RPL35A,EC-GC
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),3/98,0.0021185498548726,0.0657091767154034,0,0,12.794629430719656,78.77683350392614,GSTP1;RACK1;RPS3,EC-GC
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),3/100,0.0022441220665619,0.0657091767154034,0,0,12.529560277719336,76.42331236603597,RPS15;RPS6;RPL35A,EC-GC
GO_Biological_Process_2023,rRNA Processing (GO:0006364),3/101,0.0023086051519285,0.0657091767154034,0,0,12.401082882132444,75.28836021125726,RPS15;RPS6;RPL35A,EC-GC
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),6/525,0.0023259885562974,0.0657091767154034,0,0,4.882885147021865,29.607911913395885,RPS15;BST2;LGALS1;RACK1;RPS3;S100A4,EC-GC
GO_Biological_Process_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),4/232,0.0030886403462846,0.0821214962659213,0,0,7.207602339181286,41.66011668172556,BST2;LGALS1;GSTP1;S100A4,EC-GC
GO_Biological_Process_2023,Negative Regulation Of Growth (GO:0045926),3/124,0.0041198441521441,0.1034538642649532,0,0,10.032214538708043,55.09631974674811,BST2;MT2A;RACK1,EC-GC
GO_Biological_Process_2023,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),2/39,0.0046198068908587,0.1099027744562176,0,0,21.525405405405404,115.75076611278742,RACK1;RPS3,EC-GC
GO_Biological_Process_2023,Cellular Response To Metal Ion (GO:0071248),3/135,0.0052214849947437,0.1138706437991648,0,0,9.191094619666048,48.29895807220672,CRHBP;MT2A;B2M,EC-GC
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Process (GO:0043065),4/270,0.0052904502650054,0.1138706437991648,0,0,6.166040100250626,32.321469141230736,LGALS1;RPS6;RACK1;RPS3,EC-GC
GO_Biological_Process_2023,Regulation Of JUN Kinase Activity (GO:0043506),2/43,0.0055926172724492,0.1149028639612309,0,0,19.421463414634147,100.72568904417491,GSTP1;RPS3,EC-GC
GO_Biological_Process_2023,Regulation Of Fibroblast Proliferation (GO:0048145),2/46,0.0063783787113196,0.125349007718108,0,0,18.09454545454545,91.4650562908582,GSTP1;FTH1,EC-GC
GO_Biological_Process_2023,Intracellular Iron Ion Homeostasis (GO:0006879),2/50,0.007499481830469,0.1412402411405008,0,0,16.583333333333332,81.14094572244915,FTH1;B2M,EC-GC
