Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Translation (GO:0006412),15/234,9.511041527206762e-13,6.163154909629982e-10,0,0,15.492835773893876,428.8595546599651,RPS9;MRPS12;MRPL27;MRPL17;MRPS7;RPS4X;RPS16;RPL18A;RPL13;RPL15;AURKAIP1;RPL29;CHCHD1;UBA52;RPS23,IC-B
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),10/93,4.3142349859480967e-11,1.3978121354471837e-08,0,0,25.94944997380828,619.3229631442504,RPS4X;RPS9;RPS16;RPL18A;MRPS12;RPL13;RPL15;RPL29;UBA52;RPS23,IC-B
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),11/158,5.056604937437e-10,1.0922266664863925e-07,0,0,16.241384465874262,347.64936218445445,RPS4X;RPS9;RPS16;RPL18A;MRPS12;MRPL27;RPL13;RPL15;RPL29;MRPS7;RPS23,IC-B
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),11/183,2.407902453045729e-09,3.900801973934082e-07,0,0,13.863148479427547,275.1073861340784,RPS4X;RPS9;RPS16;RPL18A;MRPS12;MRPL27;RPL13;RPL15;RPL29;MRPS7;RPS23,IC-B
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),7/68,5.473138553723068e-08,7.093187565625096e-06,0,0,23.9618636755824,400.66221344910457,NDUFS8;NDUFB10;COX4I1;NDUFS3;UQCR11;NDUFV2;COX5A,IC-B
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),7/70,6.711801981754804e-08,7.248746140295188e-06,0,0,23.198830409356724,383.1707501241382,NDUFS8;NDUFB10;COX4I1;NDUFS3;UQCR11;NDUFV2;COX5A,IC-B
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),7/84,2.392529816477036e-07,2.103105930307581e-05,0,0,18.96746411483253,289.1731087527837,RPS4X;RPS9;RPS16;RPS19BP1;MRPS12;MRPS7;RPS23,IC-B
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),7/85,2.596427074453804e-07,2.103105930307581e-05,0,0,18.723346828609987,283.92007026389143,NDUFS8;NDUFB10;COX4I1;NDUFS3;UQCR11;NDUFV2;COX5A,IC-B
GO_Biological_Process_2023,Gene Expression (GO:0010467),11/296,3.345382152787194e-07,2.4086751500067795e-05,0,0,8.31860420281473,124.03467039869054,RPS4X;RPS9;RPS16;RPL18A;MRPS12;MRPL27;RPL13;RPL15;RPL29;MRPS7;RPS23,IC-B
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",4/34,2.628725026096335e-05,0.0017034138169104,0,0,27.031292517006804,285.0835401976264,NDUFS8;NDUFB10;NDUFS3;NDUFV2,IC-B
