Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Positive Regulation Of Plasminogen Activation (GO:0010756),2/7,6.918336203504576e-06,0.0013283205510728,0,0,799.32,9496.988892240155,ENO1;S100A10,M-TAL
GO_Biological_Process_2023,Regulation Of Plasminogen Activation (GO:0010755),2/16,3.941561644068303e-05,0.0037838991783055,0,0,285.3428571428572,2893.761345949524,ENO1;S100A10,M-TAL
GO_Biological_Process_2023,Positive Regulation Of Protein Processing (GO:0010954),2/20,6.232515501994467e-05,0.0039888099212764,0,0,221.88888888888889,2148.58238291385,ENO1;S100A10,M-TAL
GO_Biological_Process_2023,Regulation Of Fibroblast Proliferation (GO:0048145),2/46,0.00033658272069457453,0.0161559705933395,0,0,90.65454545454546,724.9341768950484,GSTP1;S100A6,M-TAL
GO_Biological_Process_2023,Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236),2/60,0.0005729274139905555,0.0220004126972373,0,0,68.72413793103448,513.0086135231461,GSTP1;AKR1B1,M-TAL
GO_Biological_Process_2023,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237),2/70,0.0007791063560372328,0.0249314033931914,0,0,58.588235294117645,419.3372670889321,GSTP1;AKR1B1,M-TAL
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),2/82,0.0010671176551602,0.0292695128272535,0,0,49.77,340.56585964390086,GSTP1;AKR1B1,M-TAL
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),2/98,0.0015191345837264,0.0364592300094345,0,0,41.44166666666667,268.9404392083059,GSTP1;AKR1B1,M-TAL
GO_Biological_Process_2023,Negative Regulation Of MAPK Cascade (GO:0043409),2/105,0.0017410380522162,0.0371421451139473,0,0,38.61165048543689,245.3103859330245,GSTP1;PEBP1,M-TAL
GO_Biological_Process_2023,Positive Regulation Of Cellular Component Organization (GO:0051130),2/113,0.0020124476555341,0.038638994986255,0,0,35.814414414414415,222.3503379025732,AKR1B1;S100A10,M-TAL
GO_Biological_Process_2023,Ruffle Assembly (GO:0097178),1/5,0.0029966530298936,0.0423715210606536,0,0,454.1818181818182,2638.914119276588,AIF1L,M-TAL
GO_Biological_Process_2023,Negative Regulation Of Cellular Response To Hypoxia (GO:1900038),1/5,0.0029966530298936,0.0423715210606536,0,0,454.1818181818182,2638.914119276588,ENO1,M-TAL
GO_Biological_Process_2023,Regulation Of Plasma Membrane Repair (GO:1905684),1/5,0.0029966530298936,0.0423715210606536,0,0,454.1818181818182,2638.914119276588,S100A10,M-TAL
GO_Biological_Process_2023,Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303),1/6,0.0035949984464796,0.0423715210606536,0,0,363.3272727272727,2044.8828145385055,GSTP1,M-TAL
GO_Biological_Process_2023,Negative Regulation Of Acute Inflammatory Response (GO:0002674),1/6,0.0035949984464796,0.0423715210606536,0,0,363.3272727272727,2044.8828145385055,GSTP1,M-TAL
GO_Biological_Process_2023,Hepoxilin Metabolic Process (GO:0051121),1/7,0.0041930151049605,0.0423715210606536,0,0,302.7575757575757,1657.3964565725007,GSTP1,M-TAL
GO_Biological_Process_2023,Regulation Of Leukocyte Proliferation (GO:0070663),1/7,0.0041930151049605,0.0423715210606536,0,0,302.7575757575757,1657.3964565725007,GSTP1,M-TAL
