Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),46/93,2.0729841748170365e-67,2.164195478508986e-64,0,0,118.55162511421486,18202.915863171896,RPL30;RPL3;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL10A;RPL8;RPS15;RPS4X;RPS15A;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPS3;RPL35;RPL13;RPL37;RPL15;RPS2;RPL18;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL22;RPS6;RPL35A;RPS3A;RPL23A;RPS25;RPS28;RPS27;RPS29;EIF3I;RPL37A;RPL29;RPL28;RPS21;RPS23,PT
GO_Biological_Process_2023,Translation (GO:0006412),52/234,1.0420727034702527e-54,5.4396195121147195e-52,0,0,35.68516833484986,4435.608732087722,RPL30;MRPS15;RPL3;RPL31;RPL34;RPLP0;RPL8;RPL10A;RPS15;EEF1B2;RPS4X;MRPL40;RPS19;RPL18A;RPS18;RPL36AL;RACK1;RPL35;RPL37;CHCHD1;RPS9;RPL21;RPS7;RPS8;RPL22;RPS6;RPS3A;EEF1G;RPL37A;RPL29;AURKAIP1;RPL28;RPL10;RPL12;RPL11;RPS15A;RPS3;RPL13;RPS2;RPL15;RPL18;RPL19;RPL41;RPL35A;RPL23A;MRPL23;RPS25;RPS28;RPS27;RPS29;RPS21;RPS23,PT
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),46/158,2.5870604418797e-54,8.004837124912769e-52,0,0,49.58556091148116,6118.316382906822,RPL30;MRPS15;RPL3;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL10A;RPL8;RPS15;RPS4X;RPS15A;RPL18A;RPS19;RPL36AL;RPS18;RPS3;RPL35;RPL13;RPL37;RPL15;RPS2;RPL18;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL22;RPS6;RPL35A;RPS3A;RPL23A;MRPL23;RPS25;RPS28;RPS27;RPS29;RPL37A;RPL29;RPL28;RPS21;RPS23,PT
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),48/183,3.066987404181137e-54,8.004837124912769e-52,0,0,43.40869565217391,5348.771695854396,RPL30;MRPS15;RPL3;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL10A;RPL8;EEF1B2;RPS15;RPS4X;RPS15A;RPL18A;RPS19;RPL36AL;RPS18;RPS3;RPL35;RPL13;RPL37;RPL15;RPS2;RPL18;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL22;RPS6;RPL35A;RPS3A;RPL23A;MRPL23;EEF1G;RPS25;RPS28;RPS27;RPS29;RPL37A;RPL29;RPL28;RPS21;RPS23,PT
GO_Biological_Process_2023,Gene Expression (GO:0010467),47/296,4.7800177953424327e-42,9.980677156675e-40,0,0,22.76944816302246,2166.379327771409,RPL30;MRPS15;RPL3;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL8;RPL10A;RPS15;RPS4X;RPS15A;RPS19;RPL18A;RPS18;RPL36AL;RPS3;RPL35;RPL13;RPL37;RPS2;RPL15;RPL18;RPL19;RPL41;RPS9;RPL21;RPS7;RPS8;RPL22;RPS6;RPL35A;RPS3A;RPL23A;MRPL23;RPS25;RPS28;RPS27;RPS29;RPL37A;STUB1;RPL29;RPL28;RPS21;RPS23,PT
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),17/118,6.0591749409381656e-15,1.0542964397232408e-12,0,0,17.261241749174918,565.0847709019412,RPS9;NPM1;RPS7;RPS19BP1;RPS8;RPS6;RPL11;RPL35A;RPS3A;RPS15;RPS4X;RPS25;RPS28;RPS27;RPS15A;RPS19;RPS23,PT
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),15/84,9.160407363741629e-15,1.3662093268208942e-12,0,0,22.09995517705065,714.35642611679,RPS9;NPM1;RPS7;RPS19BP1;RPS8;RPS6;RPS3A;RPS15;RPS4X;RPS25;RPS28;RPS15A;RPS27;RPS19;RPS23,PT
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),17/155,6.020569459784879e-13,7.856843145019267e-11,0,0,12.609488224637682,354.8111306200529,RPS9;NPM1;RPS7;RPS19BP1;RPS8;RPS6;RPL11;RPL35A;RPS3A;RPS15;RPS4X;RPS25;RPS28;RPS27;RPS15A;RPS19;RPS23,PT
GO_Biological_Process_2023,Cellular Response To Copper Ion (GO:0071280),7/20,8.499457219761696e-10,9.859370374923569e-08,0,0,52.72124904798172,1101.128026936108,MT2A;MT1F;MT1G;MT1X;MT1H;AQP1;MT1E,PT
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),9/50,2.162163521975606e-09,2.257298716942533e-07,0,0,21.67682926829268,432.49948968135055,RPS15;NPM1;RPS28;RPS27;RPS19;RPL10;RPLP0;RPL11;RPL23A,PT
GO_Biological_Process_2023,Response To Copper Ion (GO:0046688),7/24,3.6626241338194783e-09,3.476163268825032e-07,0,0,40.3080955154339,782.9882206736523,MT2A;MT1F;MT1G;MT1X;MT1H;AQP1;MT1E,PT
