Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Positive Regulation Of Protein Processing (GO:0010954),5/20,2.0003355197224826e-07,0.00016397281777003224,0,0,50.121212121212125,773.1087066212239,GSN;ANXA2;MYH9;ENO1;S100A10,VSMC/P
GO_Biological_Process_2023,Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),5/21,2.611032130096055e-07,0.00016397281777003224,0,0,46.98626893939394,712.2343123922586,HLA-B;HLA-C;HLA-A;HLA-DRB1;HLA-E,VSMC/P
GO_Biological_Process_2023,Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484),4/13,1.4359456661886772e-06,0.0002616375653446004,0,0,66.34586466165413,892.596491924328,HLA-B;HLA-C;HLA-A;HLA-E,VSMC/P
GO_Biological_Process_2023,"Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)",4/13,1.4359456661886772e-06,0.0002616375653446004,0,0,66.34586466165413,892.596491924328,HLA-B;HLA-C;HLA-A;HLA-E,VSMC/P
GO_Biological_Process_2023,Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476),4/13,1.4359456661886772e-06,0.0002616375653446004,0,0,66.34586466165413,892.596491924328,HLA-B;HLA-C;HLA-A;HLA-E,VSMC/P
GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428),4/13,1.4359456661886772e-06,0.0002616375653446004,0,0,66.34586466165413,892.596491924328,HLA-B;HLA-C;HLA-A;HLA-E,VSMC/P
GO_Biological_Process_2023,Glycolytic Process (GO:0006096),5/29,1.4581711444364672e-06,0.0002616375653446004,0,0,31.31155303030303,420.774905665651,LDHA;TPI1;PKM;ENO1;GAPDH,VSMC/P
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),13/381,2.252281744882097e-06,0.0003536082339464892,0,0,5.5538876227208975,72.22034840612453,CD74;ANXA1;NME2;AQP1;PTMS;PRDX5;CCND2;KRT18;MECOM;CFL1;CRYAB;TPT1;IER3,VSMC/P
GO_Biological_Process_2023,Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916),5/33,2.850817425060075e-06,0.0003909749535060452,0,0,26.83306277056277,342.6019906517243,HLA-B;HLA-C;HLA-A;HLA-DRB1;HLA-E,VSMC/P
GO_Biological_Process_2023,Regulation Of Plasma Membrane Repair (GO:1905684),3/5,3.112857910079978e-06,0.0003909749535060452,0,0,222.32462686567163,2819.06944586832,ANXA2;MYH9;S100A10,VSMC/P
GO_Biological_Process_2023,Regulation Of T Cell Mediated Cytotoxicity (GO:0001914),5/36,4.454279400127433e-06,0.0005085977205963688,0,0,24.23264907135875,298.5861055900744,HLA-B;HLA-C;HLA-A;HLA-DRB1;HLA-E,VSMC/P
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),14/482,5.847190583027977e-06,0.0006120059476902615,0,0,4.717010631644778,56.83785193901889,CD74;ANXA1;NME2;PIK3R3;AQP1;PTMS;PRDX5;CCND2;KRT18;CFL1;CCL2;CRYAB;TPT1;IER3,VSMC/P
GO_Biological_Process_2023,Carbohydrate Catabolic Process (GO:0016052),5/41,8.614478805121845e-06,0.0008026598435475238,0,0,20.861742424242426,243.29102095581163,LDHA;TPI1;PKM;ENO1;GAPDH,VSMC/P
