Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),19/93,1.0597090884352749e-27,8.074983253876796e-25,0,0,80.87430287430287,5023.248774785934,RPS9;RPL3;RPS7;RPL11;RPL8;RPS4X;RPS26;RPL7A;RPS18;RACK1;RPS3;RPL13;RPS2;RPL15;RPL29;RPL18;RPL28;RPL19;RPS23,aPT
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),19/183,8.517881241179561e-22,3.245312752889413e-19,0,0,36.326558265582655,1762.3722367259288,RPS9;RPL3;RPS7;RPL11;RPL8;RPS4X;EEF1G;RPS26;RPL7A;RPS18;RPS3;RPL13;RPS2;RPL15;RPL29;RPL18;RPL28;RPL19;RPS23,aPT
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),18/158,2.0189978958250345e-21,5.128254655395589e-19,0,0,39.73258928571428,1893.324854931143,RPS9;RPL3;RPS7;RPL11;RPL8;RPS4X;RPS26;RPL7A;RPS18;RPS3;RPL13;RPS2;RPL15;RPL29;RPL18;RPL28;RPL19;RPS23,aPT
GO_Biological_Process_2023,Translation (GO:0006412),20/234,3.3208620315312188e-21,6.326242170066972e-19,0,0,29.701537533916188,1400.5481588717173,RPS9;RPL3;RPS7;RPL11;RPL8;RPS4X;EEF1G;RPS26;RPL7A;RPS18;RACK1;RPS3;RPL13;RPS2;RPL15;RPL29;RPL18;RPL28;RPL19;RPS23,aPT
GO_Biological_Process_2023,Gene Expression (GO:0010467),18/296,1.726216882704837e-16,2.6307545292421723e-14,0,0,19.869604316546763,721.1758176346756,RPS9;RPL3;RPS7;RPL11;RPL8;RPS4X;RPS26;RPL7A;RPS18;RPS3;RPL13;RPS2;RPL15;RPL29;RPL18;RPL28;RPL19;RPS23,aPT
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),9/381,2.5861391353913447e-05,0.0029690705004178,0,0,6.477905435262925,68.42455641686256,PRDX2;PRELID1;KRT18;GPX4;GSTP1;CTSH;CRYAB;TPT1;AQP1,aPT
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),10/482,2.727492585685652e-05,0.0029690705004178,0,0,5.722104519774011,60.13670203965805,PRDX2;PRELID1;KRT18;MDK;GSTP1;CTSH;CRYAB;TPT1;AQP1;LAMTOR5,aPT
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),4/62,0.00012217937162628187,0.0096580436091621,0,0,17.55968169761273,158.21308915005594,RACK1;TNFSF10;RPS3;CTSH,aPT
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),5/118,0.0001246880846788377,0.0096580436091621,0,0,11.380875761406736,102.31060490674128,RPS4X;RPS9;RPS7;RPL11;RPS23,aPT
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),11/705,0.00013874840966957776,0.0096580436091621,0,0,4.291593944067865,38.12157782977936,PRDX2;PRELID1;KRT18;GSTP1;TNFSF10;RACK1;RPS3;CTSH;CRYAB;TPT1;AQP1,aPT
GO_Biological_Process_2023,Positive Regulation Of Peptidase Activity (GO:0010952),3/25,0.00014314336988236997,0.0096580436091621,0,0,34.342922899884925,303.9920089085079,PRELID1;CLDN3;CTSH,aPT
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),9/480,0.00015209517494743475,0.0096580436091621,0,0,5.090393508419859,44.749670112008005,RPS4X;CLDN3;NAT8;RPS7;RPL11;RPS3;CTSH;GAPDH;LAMTOR5,aPT
GO_Biological_Process_2023,Protein Stabilization (GO:0050821),6/208,0.0002136458695312014,0.0125229348140596,0,0,7.705575820739969,65.12129093735396,RPS7;RPL11;PPIB;CRYAB;GAPDH;TSPAN1,aPT
