,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53,cell_type,disease,sample
S_1907_004567_C-TAL,3.2720906717809726,-2.3531228644569446,-1.9243654958507461,3.242276831812342,0.7681841198223154,-6.144064981104882,-2.4072907302302693,-9.354064963528634,1.3440244433074873,2.20769091805062,-2.0902416453855013,-1.0363302092028663,-0.7932378939836402,-7.872702038071168,C-TAL,Type 1 Diabetes,S_1907_004567
S_1907_004614_C-TAL,3.205946810438015,-1.600678534911734,-0.4112579827634466,2.785553382141784,0.5953181033076349,-5.442930129954768,-2.0681431727710917,-7.234426518684881,-0.10148800226452487,1.718186199449009,-1.6635120719923047,-0.9590715819942249,-0.9841892736116684,-7.976045698209168,C-TAL,Type 1 Diabetes,S_1907_004614
S_1907_004802_C-TAL,2.7535702776061655,-0.49627619159990605,-0.7571786314954392,2.68327305977786,0.5709809192009063,-6.203605427495691,-2.4879275323237477,-7.382476670239814,1.1573975133293544,2.0901030006956405,-1.3602036291300388,-0.9366048783362749,-0.6778952403557273,-8.22646042890577,C-TAL,Lean Control,S_1907_004802
S_1907_004896_C-TAL,3.9598561201908318,-1.1180857025023838,-2.3865487263600604,4.522508873924185,0.39138957686075443,-5.888359090014869,-2.695440608469518,-7.432868697006262,1.4817360044181176,2.8937277669695316,-2.8673626954072,-0.9183112495559533,-1.2199812738125477,-7.22175550629414,C-TAL,Type 1 Diabetes,S_1907_004896
S_1907_005225_C-TAL,4.125944097831401,-3.5361149670847554,-2.3995618995668004,5.593291085500307,0.615219804436238,-4.912893832382916,-2.422387209518174,-7.716828432424722,2.6169041710826493,2.3266798345366895,-3.10132990934428,-1.016130147547559,-1.0069016243522353,-8.885216529998631,C-TAL,Type 1 Diabetes,S_1907_005225
S_2006_004078_C-TAL,2.6747330009124806,-1.900042218932418,-0.7643153785718377,3.083078455165247,0.38677209299893156,-5.611415686244529,-1.5555420420987787,-8.461440821373193,0.6311466725410223,1.0758811599465843,-1.356606693967969,-1.1872969535494189,-1.0590402269264294,-8.575009416183017,C-TAL,Type 1 Diabetes,S_2006_004078
S_2007_002809_C-TAL,3.4956840914142258,-1.242317285199444,-0.6910976247417021,3.561991885935812,0.5107097864846377,-5.3056836531983445,-1.7303196137954893,-6.442100112112479,0.10936980192513371,2.165899470702207,-1.8065429111452747,-0.5908557468569555,-1.288076564547537,-8.208406405039618,C-TAL,Type 1 Diabetes,S_2007_002809
S_2007_002950_C-TAL,4.43208115803574,-2.6026250285017754,-0.4128559073125201,3.899663254637153,0.2002505954699853,-3.6168960202303886,-1.62929996297926,-6.8532770695393666,0.2479267039691192,1.4851196694647595,-2.356034291073346,0.03904223721446462,-1.2610002615905473,-8.044322221097348,C-TAL,Type 1 Diabetes,S_2007_002950
S_2007_002997_C-TAL,3.844588646091499,-3.110773025584104,-1.3991791910195874,3.9958983743444736,0.2071058090975983,-4.986900837613262,-2.04781787386863,-7.399578687062405,2.1377899812579892,1.6826176662170707,-2.6101942331216015,-0.6434175425811081,-0.6200134604862364,-8.960208453734422,C-TAL,Lean Control,S_2007_002997
S_2007_003044_C-TAL,3.675221308863076,-2.642985704081859,0.3490848255339317,3.036081712915825,-0.12325131244873994,-5.606795618423939,-1.6885873425395919,-6.622564940593692,0.47692423311785387,1.1631719963413063,-2.5824932961264007,-0.5882563570387236,-0.9959778831121374,-8.459638977293244,C-TAL,Type 1 Diabetes,S_2007_003044
